Original,EN,Needs Review
串烤還不錯吃 當時只有兩桌客人 但等待一道一道菜的時間偏久,"The skewers are not bad. At that time, there were only two tables of guests at that time but waited for a long time to take a long time.",False
"打卡送飲料🉐
口味真的不咋地，櫛瓜還很苦到底怎麼烤的😅
環境還不錯，喝酒看看比賽東西可以～考慮到這麼晚還有地方可以用餐，服務又很優質，還是可以給過（吧）","Pickings and send drinks 饮
The taste is really not good, how to bake in the hard melon is very bitter.
The environment is not bad. You can drink and see the game. Considering that there are still places to dine so late, the service is very quality, you can still give it (bar)",False
"出餐速度快
空間很寬敞～
價格平價","Fast meal speed
The space is spacious ~
Parity",False
"裝潢普通，寵物友善🫶🏻
用Qrcode點餐，有些餐點沒照片
不推薦：
節瓜跟酒燒蛤蜊
節瓜照片是圓圓一串一串，送來是都半顆
量很少…
蛤蜊也是，量很少，肉質有點煮過頭
不是特別好吃，有點小顆
五花肉肉很少，瘦肉部分有點柴
烤雞翅雖然滿好吃，但雞翅只有兩節
少了棒棒腿部分，吃的有點空虛

推薦：
炒水蓮反而大家很喜歡，量多也好吃
鹽蔥雞肉串很好吃，肉很嫩也多汁
北海道啤酒跟特條海鹽荔枝系列可以喝
杯子🈶️特別冰鎮過，啤酒不容易退冰

價位跟量而言，東西偏少
花了1700左右，3個人都沒吃飽","Ordinary decoration, pet friendly 装
Ordee with QRCODE, some meals have no photos
Not recommended:
Jiegua and wine to roast clams
The photos of the melon are round and round, and half of them are sent
There is very little ...
The clam is the same, the amount is very small, the meat is a bit cooked too much
It's not particularly delicious, it's a bit small
There are very few pork belly, and the lean meat part is a bit firewood
Although the grilled chicken wings are delicious, there are only two sections of the chicken wings
Laren legs, eat a bit empty

recommend:
Instead of fried water lotus, everyone likes it very much, and the amount is delicious and delicious
The skewers of salt onion chicken are delicious, the meat is very tender and juicy
Hokkaido Beer and Special Sea Salt Litchi series can drink
Cup 特️ Special ice, beer is not easy to retreat

In terms of price and quantity, there are few things
It took about 1700, and all 3 people didn't eat full",False
"跟太太臨時在Google上面找到這家店，看到風評還不錯，就跑來吃一頓，整個店面的裝潢非常的特別，應該是說裝潢看起來不像是純日式的風格，夾雜著一點兒賽車的味道，多元店面整齊乾淨是不在話下，一進門就可以看到一個很大的投影螢幕，播放著運動賽事，讓人不禁覺得應該是到了運動餐廳，有重大賽事的時候也可以到這個地方來，應該會非常熱鬧。
餐點味道適中，不會因為為了下酒口味比較重，用的食材也很新鮮，像是他的烤青椒，一股非常鮮甜的味道是我從來沒有感受過的，炸黑輪以及杏鮑菇還有雞肉串烤都是非常棒的選擇。晚上睡不著或是想吃正餐都可以來這邊不管你是情侶還是夫妻？還是想一個人獨酌，都非常推薦。","I temporarily found this store with my wife on Google. When I saw the wind review, I ran to eat. The decoration of the entire store was very special. It should be said that the decoration does not look like a pure Japanese style. The taste of a little racing, the multi -storey store is neat and clean. If you enter the door, you can see a large projection screen and play sports events. When you come to this place, it should be very lively.
The taste of the meal is moderate. It will not be fresh because of the taste of the wine, and the ingredients used are also very fresh, such as his roasted green peppers. A very fresh taste is what I have never felt. Mushrooms and chicken skewers are a great choice.Can't sleep at night or you can come here if you want to eat dinners Whether you are a couple or a couple?I still want to be alone, I am very recommended.",False
"2023/02
首次來訪，週五晚上七點多來，兩位剛好還有一桌。掃描QR code點餐，我們兩人共吃了1190元。

🔸香酥黑輪片（80元）
黑輪片外酥內軟，不錯。

🔸廣島炸牡蠣（180元）
共3顆，皮很酥脆，牡蠣大小一般。

🔸烤櫛瓜（70元）
有兩種調味，櫛瓜烤得恰到好處。

🔸清酒燒文蛤（160元）
蛤仔蠻大顆，薑太大塊。

🔸明太子雞肉串（160元）
這個明太子醬吃起來很卡，就是一個奇怪的甜鹹醬料感。雞肉本身局部烤得滿酥脆也多汁，但部分區塊較乾。

🔸鮭魚肉烤飯糰（160元）
飯糰算大顆，面層也算脆。

🔸香煎牛（330元）
熟度大概落在5分熟，可惜冷了，肉質不錯，但份量以330元來說真的偏少一些些。

🔸可樂（50元）
正常的一杯可樂。

總體來說沒有什麼雷點，但也沒有什麼亮點，整體價位偏高，環境較雜亂、昏暗。

個人主觀感受是如果有相同預算會選其他間（例如鳥籠），不會想回訪。","2023/02
For the first visit, more than 7 o'clock on Friday night, the two just had a table.Scan QR Code to order, we two ate a total of 1,190 yuan.

8 Crispy black wheels (80 yuan)
The black wheel film is crispy and soft inside.

（Hiroshima Fried Oyster (180 yuan)
A total of 3 pieces, crispy skin, average oyster size.

0 Baked melon (70 yuan)
There are two kinds of seasoning, and the melon is grilled just right.

（Broken Clam Clam (160 yuan)
The clams are quite large, Jiang is too large.

串 串 肉 🔸 🔸 (160 yuan)
This Ming Prince Sauce is very stuck, it is a strange sweet and salty sauce feeling.The chicken itself grilled crispy and juicy, but some blocks are dry.

饭 salmon meat grilled rice ball (160 yuan)
The rice ball is large, and the surface layer is crispy.

0 0 🔸 🔸 (330 yuan)
The degree of maturity falls in about 5 points, but unfortunately it is cold, the meat is good, but the portion of 330 yuan is really less.

Coca -Cola (50 yuan)
Normally a cup of cola.

Generally speaking, there is no thunder point, but there is no highlight. The overall price is high, and the environment is messy and dim.

Personal subjective feelings are that if there are the same budget, you will choose other rooms (such as bird cages), and you will not want to return to visit.",False
"值得在回顧用餐！
給你五顆星！唯一不好的一件事就是~
蛤蜊其中一顆多沙無法食用只能送垃圾桶了

下次再帶小孩來吃！
今天去逛百貨吃不到任何餐點跟位置
晚上看到你們就來嘗試！讚","It is worth looking back on dining!
Give you five stars!The only bad thing is ~
One of the clams of Dorang can not be eaten, but it can only be sent to the trash can

Take a child to eat next time!
I can't eat any meals and positions today when I go to the department store
When you see you at night, try it!praise",False
"1. 烤香菇 乾掉了NG,不過有cheese
2. 明太子雞肉串：明太子存在感很低、太少，雞肉肉質好，保有原味，嫩並且鎖住湯汁
3. 蔥燒雞肉串：肉質同上，推薦！蔥調的很鹹很夠味，有讓雞肉更好吃的效果
4. 玉米筍、青椒：新鮮好吃，沒有太大問題，很安全的菜色
5. 鯖魚一夜干：有醃過太甜，很大隻，所以肉質很老，但是算新鮮
6. 鹽烤松阪豬：份量有點少，肉質好吃，沒什麼太特別的調味，保留了原味不錯
7. 焗烤扇貝：推薦，很大顆並且新鮮，起司份量也很足夠

裝潢不錯，服務態度好，就是食物還有進步的空間","1. The grilled shiitake mushrooms were killed Ng, but there was cheese
2. Chicken Chicken Strings: The presence of Prince Ming is very low and too little.
3. Scallion roasted chicken skewers: meat quality is the same, recommended!The onion is very salty and delicious, and has the effect of making chicken better
4. Corn bamboo shoots, green peppers: fresh and delicious, there are no big problems, very safe dishes
5. Dry of catfish overnight: It is too sweet and big, so the meat is very old, but it is fresh
6. Salt grilled padsa pigs: The amount of portion is a bit small, the meat is delicious, there is nothing special seasoning, and the original flavor is good
7. Baked scallops: Recommended, very large and fresh, the cheese amount is enough

The decoration is good and the service attitude is good, that is, there is room for progress in food",False
如果真的很閒然後吃飽想小酌一下可以來，一個玉子燒要等2小時，然後根本沒厚度是蛋皮不是玉子燒，肉串也要等1個多小時，價格偏高而且份量都很小。旁邊客人也等到很不高興，開一間店不少錢，但這種出餐速度如果不改善應該也經營不久了⋯,"If you are really idle and you can come and have a drink, you can wait for 2 hours, and then there is no thickness at all. Egg skin is not Yuzi burning. Very small.The guests next to it were very unhappy and opened a store a lot of money, but if the speed of this meal is not improved, it should be operated shortly.",False
"動作超慢完全不行
玉子燒等了快兩個小時才上，然後完全沒厚度根本是煎蛋
外場服務生是外籍的一問三不知
評價完全是因為有五星送飲料才這麼高","The movement is super slow, it's not enough
Yuzi burned for almost two hours before going up, and then there is no thickness at all.
The waiter in the field is a foreign question. I don't know
The evaluation is all because there are five stars to send drinks so high",False
