Original,EN,Needs Review
"香菜沙拉好好吃10/10🤤！滷肉飯也好好吃10/10、鰻魚飯也好好吃9.5/10、炸豆腐也好吃8/10！覺得很多餐廳都亂做所以客人越來越少，但是這間餐廳有好好在經營，所以東西真的好吃！超級推薦大家去！

給店家的許願🎋：希望無酒精飲料可以出清爽型！
這次點的起司乳酸飲跟台灣料理不太搭，如果能出清爽一點的mocktail就完美了💗💗💗","Coriander salad is delicious 10/10拉!The braised pork rice is also delicious 10/10, eel rice is also delicious 9.5/10, fried tofu is also delicious 8/10!I feel that many restaurants are doing messy, so there are fewer and fewer guests, but this restaurant is operating well, so things are really delicious!I recommend everyone to go!

The wish to the store 无: I hope that there is no alcoholic drink to make a refreshing type!
The cheese lactic acid drink this time is not very good with Taiwanese cuisine. If you can produce a more refreshing mocktail, it is perfect",False
"餐點和酒都不錯
店員服務態度好、親切，會主動聊聊天
店內氣氛輕鬆，歌單和店內的氛圍搭配得很好
適合好友相聚聊天喝酒🥂","The meals and wine are good
The clerk's service attitude and kindness will take the initiative to chat
The atmosphere in the store is relaxed, and the song list and the atmosphere in the store are well matched well
Suitable for friends to get together to chat and drink 🥂",False
"位在三峽北大附近の電影主題餐酒館✨
吧台上方投影台灣早期的廣告
再搭配70、80年代Citypop音樂🎵
整個氛圍感滿滿😽
菜單也很特別 是放在CD裡面𓈒𓂂𓂃♡₊⁺

一入座店員會給一小杯雞湯試喝很貼心💖
餐點主打台日式創意料理🇹🇼🇯🇵
最特別的是可以吃到日本傳統釜飯🤩
我們點了每日限量的❝鰻魚釜飯❞
大約可以3-4人分食 他的鰻魚份量給超多
外層刷上特製醬汁燒烤🔥
吃起來肉質細緻很下飯😚推薦必點！

另外餐點還很推薦❝雞肉蘿蔔泥煮❞
雞肉煮的軟嫩 搭配蘿蔔泥一同入口
口感豐富 味道濃郁很好吃😋
然後❝肉鬆蘿蔔糕❞也很特別🌟
蘿蔔糕切成小塊 炸得酥脆
搭配鹹香肉鬆整個超下酒😆

調酒設計則以電影元素為主題🎬
喜歡偏酸的推❝那些年，我們一起追的女孩❞
他是伏特加基底🥃加入芭樂與萬壽菊
最上面還放有青蘋果片🍏
喝起來酸酸甜甜 酒感輕盈 彷彿初戀的滋味😳
而❝KANO❞這杯是金門高梁+小米酒
再加入可爾必思 喝起來味道濃郁
帶有米香也很順口😚
如果不能喝酒也有無酒精特調可以選擇✔️

整體用餐環境舒適很有氛圍(˶ᵔᵕᵔ˶)♡ᐝ
食物份量偏精緻但都很美味 調酒也好喝
很適合三五好友聚會.ᐟ .ᐟ .ᐟ
Bartender也很好聊 一個人去可以坐吧台不用怕尷尬😌

✪ 看更多美食ig @small_white_eat_ ☻","Located in the movie theme dining restaurant near the Three Gorges Peking University ✨
Projecting early in Taiwan's early advertisements on the bar
With the 70s and 1980s, citypop music 🎵
The whole atmosphere is full 围
The menu is also very special in CD 𓈒𓂂𓂃♡₊⁺ 𓈒𓂂𓂃♡₊⁺ 𓈒𓂂𓂃♡₊⁺ 𓈒𓂂𓂃♡₊⁺ 𓈒𓂂𓂃♡₊⁺ 𓈒𓂂𓂃♡₊⁺ 𓈒𓂂𓂃♡₊⁺

As soon as I entered the shop clerk, I will give a small cup of chicken soup and try it very intimately 💖
The main meal is the main Japanese -style creative cuisine 🇹🇼🇯🇵
The most special is that you can eat traditional Japanese 釜 🤩 🤩 🤩 🤩 🤩 🤩 🤩
We ordered the daily limited eel kettle rice ❞
About 3-4 people can eat his eels to give a lot of weight
Exterior brush on special sauce barbecue 🔥
It tastes delicate and very delicate. 😚 Recommended!

In addition, it is recommended for meals.
The soft tenderness of the chicken is paired with the radish mud and the entrance
The taste is rich and the taste is rich and delicious 😋
Then ❝ meat pine radish cake 肉 is also very special 🌟
Cut the radish cake into small pieces and fry crispy
With salted meat pine, the whole wine is super wine 😆

The bartending design is based on the theme of movie elements 🎬
Those who like to push sore in those years, the girl we chased together ❞
He is a vodka, joining Bale and Wanshouju
There are green apple films on the top 最
Drinking sweet and sour wine feels light, like the taste of first love 😳
❝Kano杯 This cup is Golden Gate High Sanda+Xiaomi Wine
Add the taste of Kerbiti
Bring rice incense is also very smooth 也
If you do n’t drink alcohol, you can choose ✔️

The overall dining environment is comfortable and very atmospheric (˶ᵔᵕᵔ˶) ♡ᐝ
The food portion is exquisite but delicious and delicious
Very suitable for three or five friends gatherings .ᐟ .ᐟ .ᐟ
Bartender is also very easy to talk about a person, you can sit on the bar, don’t be afraid of embarrassment 😌

G Look at more food iG @small_white_eat_ ☻",False
"這邊的餐點是走精緻（小份）路線的
如果想要大份量又要吃飽就不太建議
但是如果是來吃個小菜喝喝酒滿適合的","The meal here is the exquisite (small) route
It is not recommended if you want to be full if you want to be full
But if you are here to eat a side dish, drink and drink, it is suitable",False
"聖誕夜來用餐，氣氛很好，位子舒服。在大樓的一樓店面，中式餐點的餐酒館，菜單很多選擇，小鳥胃也沒問題✌🏻

入座先上了一杯茶杯雞湯，濃郁開胃🤤
點了一個新的聯名漢堡 麵包跟漢堡排 很好吃
單人蒼蠅頭丼飯+小碗雞湯
必點玉米筍！！

這次沒點酒，但在餐酒館吃的很滿足😌
是令人會一訪再訪的店。","On Christmas Eve, the atmosphere is good and the seat is comfortable.On the first floor of the building, there are many options for the menu and tavern for Chinese meals, and there is no problem with the bird's stomach.

I put on a cup of tea cup chicken soup first, rich appetizer 🤤
Ordered a new joint burger bread and the burger row are delicious
Single flies head rice rice+small bowl of chicken soup
Must order corn bamboo shoots!Intersection

I didn’t order a drink this time, but I was very satisfied with the restaurant 😌
It is a shop where you will visit again.",False
"台式餐酒館，裝潢氣氛不錯。
餐點價格不低，擺盤藝術性佳，但吃起來的口味普通。
皮蛋豬血糕的皮蛋味很淡，與豬血糕的搭配沒有很成功，豬血糕口感偏Q.
蛋汁山藥吃起來沒有蛋液的感覺，主要是胡椒粉味。
滷肉飯、烤時蔬、蘿蔔糕與三杯雞普通。","The desktop tavern has a good decoration atmosphere.
The price of meals is not low, and the disk is good, but the taste is ordinary.
The preserved egg flavor of preserved egg pig blood cake is very light, and the combination of pig blood cake is not very successful.
The egg juice yam does not have the feeling of egg liquid, mainly the flavor of pepper.
Journal meat rice, grilled vegetables, radish cakes and three cups of chicken are ordinary.",False
"好吃！已經二訪，開心北大有這麼辦的店👍
- 天使心：很不錯的調酒
- 少女時代：無酒精飲，有點普通，而且一下就喝完了
- 黑白切：這個好好吃，類似滷味，辣椒醬一絕，但蠻辣的喔
- 野菜干貝
- 壽喜燒牛肉釜飯： 好吃，雙蛋一起伴口感很滑嫩❤️ 薑絲味道很充足，相當提味我很喜歡
- 好蛤蜊濃湯： 真的超濃的耶，但不是我們想像的「濃湯」，一樣是蛤蜊清湯，但超級濃郁的蛤蠣海味，好厲害！綠色的油很吸睛，喝起來視覺上很有異次元感😆","tasty!I have already visited, Happy Peking University has such a shop 👍
-Eville Heart: Very good bartending
-Girls' Generation: Drinking without wine, a bit ordinary, and after drinking it at once
-D black and white cut: This is delicious, similar to Jelly, chili sauce, but it's quite spicy
-Noic vegetable shellfish
-Shouxi roasted beef kettle rice: delicious, the two eggs are very smooth and tender ❤️ Ginger taste is sufficient, quite flavor, I like it very much
-Is a good clam thick soup: It's really super strong, but it is not the ""thick soup"" we imagine.The green oil is very eye -catching, and it has a different sense of dimension.",False
"乾杯🥂～玻璃杯碰撞清脆的聲音，夜晚才正要開始，來好命是一種氛圍，來好命是一種放鬆。
好命的下酒菜算是台式創意料理，覺得每道都能感覺的出來沒在隨便，是有用心的料理，最愛‘’搗蛋豬血糕‘’跟""鮭魚親子飯 feat.北海道鮭魚卵 ""，如果本身是香菜與皮蛋控，拜託請點搗蛋豬血糕，胡麻醬+搗碎的皮蛋淋在豬血糕上，再灑上香菜，真的好！好！吃！
鮭魚親子飯是將鮭魚表面烤上色後下去跟飯一起煮，飯會吸收鮭魚的油脂跟香氣，拌開後再加入北海道鮭魚卵，主廚來開鍋的時候真的是香氣四溢，兩碗就直接下去了（減肥放一邊了啦！）

美味餐點後來杯調酒舒壓，真的很滿足🍹
人多選包廂，玩的更盡興
來好命，好朋友，好酒菜，好時光🥂","Dry cup ～ ～ ～ 干 干 干 干 干 干 干 干 干 干 is about to start at night. It is a kind of atmosphere to come to life. It is a relaxation.
The nice life is a desktop creative cuisine. I feel that every way can feel that it is not casual. It is an attentive dish. If it is a coriander and preserved egg control, please ask for some told pig blood cakes. The flax sauce+the crushed preserved eggs are poured on the pig blood cake, and then sprinkled with coriander. It is really good!good!eat!
Salmon parent -child rice is roasted on the surface of the salmon and cooked it with the rice. The rice will absorb the oil and aroma of salmon. After mixing it, add Hokkaido salmon eggs. Just go straight down (I put aside aside!)

After the delicious meal, the cup of bartending and pressure is really satisfied.
People choose more boxes and play more fun
Come and live, good friends, good wine and vegetables, good time 🥂",False
"好命坐落在一環境非常好的社區裡！帶有著懷舊復古的裝潢風格，還有在點餐設計上的一些巧思都很值得讓人一探究竟。
餐點方面走一個創意台式精緻料理！味道清晰分明，不油膩還非常清爽，整體跳脫了台式的料理的框架！酒水方面因為開車所以今天點了軟性飲料，這邊提一下調酒的菜單設計很有趣，可以親自來被驚艷一下！在好命這裡會感受到滿滿的誠意，因為它們提供的酒水很不一樣，每種飲品都帶有背後故事，且不無聊！
最後個人覺得綜合餐點酒水及服務品質的綜合評估，價位可算是非常實惠！真心大推！","Good life is located in a very good environment!With nostalgic retro decoration styles, and some ingenuity in ordering design is worthy of finding people.
Take a creative desktop exquisite cuisine in the meal!The taste is clear and clear, and it is not greasy and very refreshing. The overall has been escaped from the framework of desktop cuisine!Because of driving, I ordered a soft drink because of driving. The design of the mixing menu here is very interesting. You can be stunning in person!You will feel full of sincerity here, because the wines they provide are very different. Each drink has the story behind it, and it is not boring!
In the end, I personally think that the comprehensive assessment of the quality of drinking and service quality can be considered very affordable!Really push!",False
恢復清醒之後來推個！在北大附近走路就可以到的餐酒館！氣氛很好很適合聊天！推土豆絲跟滷肉釜飯還有蛤蜊濃湯！餐點都很用心製作吃起來真的覺得非常滿意～～～謝謝老闆招待我們喝shot!是個非常快樂的夜晚😍 …,"After returning to sober, come and push it!Wardriper you can go near Peking University!The atmosphere is very good and suitable for chat!Tongpu shreds and braised pork rice rice and clam soup!The meals are very satisfied with the meals. I really feel very satisfied with it ~~~ Thank you boss for entertaining us to drink Shot! It is a very happy night ...",False
