店名,評分,評論數,地址,鏈接
微醺吉他tipsy guitar -live bar民歌音樂酒吧,5.0 ,787,251新北市淡水區中正路7號2樓,https://www.google.com/maps/place/%E5%BE%AE%E9%86%BA%E5%90%89%E4%BB%96tipsy+guitar+-live+bar%E6%B0%91%E6%AD%8C%E9%9F%B3%E6%A8%82%E9%85%92%E5%90%A7/data=!4m7!3m6!1s0x3442a5e977c410b1:0xe9beb177b6b14256!8m2!3d25.1687324!4d121.4440035!16s%2Fg%2F11s7z8hyn_!19sChIJsRDEd-mlQjQRVkKxtnexvuk?authuser=0&hl=zh-TW&rclk=1
pier salon & bar碼頭沙龍餐酒館,4.9 ,608,251新北市淡水區商店街8號淡水漁人碼頭 木棧道,https://www.google.com/maps/place/pier+salon+%26+bar%E7%A2%BC%E9%A0%AD%E6%B2%99%E9%BE%8D%E9%A4%90%E9%85%92%E9%A4%A8/data=!4m7!3m6!1s0x3442a534df438a61:0x156726c87823369f!8m2!3d25.1819839!4d121.412452!16s%2Fg%2F11j7dc9n4b!19sChIJYYpD3zSlQjQRnzYjeMgmZxU?authuser=0&hl=zh-TW&rclk=1
多崎作the ferrymen,4.9 ,185,251新北市淡水區中正路328號1樓,https://www.google.com/maps/place/%E5%A4%9A%E5%B4%8E%E4%BD%9Cthe+ferrymen/data=!4m7!3m6!1s0x3442a5fcb20f98ff:0x5447c55435b754e5!8m2!3d25.1730448!4d121.4361288!16s%2Fg%2F11h6cr9w9z!19sChIJ_5gPsvylQjQR5VS3NVTFR1Q?authuser=0&hl=zh-TW&rclk=1
Buddybar角落酒吧,4.8 ,211,251新北市淡水區鼻頭街15號,https://www.google.com/maps/place/Buddybar%E8%A7%92%E8%90%BD%E9%85%92%E5%90%A7/data=!4m7!3m6!1s0x3442af41a8f5335b:0xf3018506805795ee!8m2!3d25.166652!4d121.4473519!16s%2Fg%2F11h3qrt9d_!19sChIJWzP1qEGvQjQR7pVXgAaFAfM?authuser=0&hl=zh-TW&rclk=1
Bar Salix 煽 in RC,4.7 ,496,251新北市淡水區中正路233-2號3樓,https://www.google.com/maps/place/Bar+Salix+%E7%85%BD+in+RC/data=!4m7!3m6!1s0x3442a5a735957837:0xeb24344e313f309d!8m2!3d25.1731195!4d121.4356756!16s%2Fg%2F11hfhptq92!19sChIJN3iVNaelQjQRnTA_MU40JOs?authuser=0&hl=zh-TW&rclk=1
I-La音樂酒吧,4.4 ,159,251新北市淡水區中正路12巷1號,https://www.google.com/maps/place/I-La%E9%9F%B3%E6%A8%82%E9%85%92%E5%90%A7/data=!4m7!3m6!1s0x3442a55a27cd9fcb:0xc7b6f646cae9164a!8m2!3d25.170479!4d121.439737!16s%2Fg%2F11b62114bg!19sChIJy5_NJ1qlQjQRShbpykb2tsc?authuser=0&hl=zh-TW&rclk=1
沐光MouMoon,4.9 ,331,251新北市淡水區北新路182巷21號B1,https://www.google.com/maps/place/%E6%B2%90%E5%85%89MouMoon/data=!4m7!3m6!1s0x3442aff8417099c3:0x3a131faeecf4715!8m2!3d25.1774781!4d121.4489067!16s%2Fg%2F11qhrd8dnh!19sChIJw5lwQfivQjQRFUfP7voxoQM?authuser=0&hl=zh-TW&rclk=1
滿吧（Full House Bar）淡水No.1,5.0 ,61,251新北市淡水區中正路1號,https://www.google.com/maps/place/%E6%BB%BF%E5%90%A7%EF%BC%88Full+House+Bar%EF%BC%89%E6%B7%A1%E6%B0%B4No.1/data=!4m7!3m6!1s0x3442a57370b91255:0x678e01b7bf8ca6da!8m2!3d25.1679209!4d121.4452107!16s%2Fg%2F11vy86y1r_!19sChIJVRK5cHOlQjQR2qaMv7cBjmc?authuser=0&hl=zh-TW&rclk=1
樹下餐酒 Shusia.Hustle,4.8 ,"1,098","251新北市淡水區北新路182巷20,22號",https://www.google.com/maps/place/%E6%A8%B9%E4%B8%8B%E9%A4%90%E9%85%92+Shusia.Hustle/data=!4m7!3m6!1s0x3442b031a7bb6cd7:0x7cbc050b6dace10d!8m2!3d25.177998!4d121.4487412!16s%2Fg%2F1hc32thxv!19sChIJ12y7pzGwQjQRDeGsbQsFvHw?authuser=0&hl=zh-TW&rclk=1
98 Bar 淡水九八歲月酒吧,4.4 ,60,251新北市淡水區鼻頭街12 號,https://www.google.com/maps/place/98+Bar+%E6%B7%A1%E6%B0%B4%E4%B9%9D%E5%85%AB%E6%AD%B2%E6%9C%88%E9%85%92%E5%90%A7/data=!4m7!3m6!1s0x3442aff6400411a5:0x3129c26ee1a76d6b!8m2!3d25.1667432!4d121.4471676!16s%2Fg%2F11g81d8325!19sChIJpREEQPavQjQRa22n4W7CKTE?authuser=0&hl=zh-TW&rclk=1
嚐趣,5.0 ,74,251新北市淡水區水源街二段177巷43弄18號,https://www.google.com/maps/place/%E5%9A%90%E8%B6%A3/data=!4m7!3m6!1s0x3442af8ce19e3c0f:0x2121a0f19c59343b!8m2!3d25.1759986!4d121.4534606!16s%2Fg%2F11py744qxd!19sChIJDzye4YyvQjQROzRZnPGgISE?authuser=0&hl=zh-TW&rclk=1
