店名,評分,評論數,地址,鏈接
BLUE PAPA,4.9 ,140,,https://www.google.com/maps/place/BLUE+PAPA/data=!4m7!3m6!1s0x3442a9f0f3f17613:0x93c3444d02338b9f!8m2!3d25.0815046!4d121.4721292!16s%2Fg%2F11k3j35nfj!19sChIJE3bx8_CpQjQRn4szAk1Ew5M?authuser=0&hl=zh-TW&rclk=1
ALARIS亞烈航斯星球PUB,4.4 ,77,247新北市蘆洲區環堤大道98號,https://www.google.com/maps/place/ALARIS%E4%BA%9E%E7%83%88%E8%88%AA%E6%96%AF%E6%98%9F%E7%90%83PUB/data=!4m7!3m6!1s0x3442a8afb5a25c01:0x4f10f3e110b524ef!8m2!3d25.0861316!4d121.4554602!16s%2Fg%2F1thvvzr0!19sChIJAVyita-oQjQR7yS1EOHzEE8?authuser=0&hl=zh-TW&rclk=1
小時光our times,4.4 ,155,247新北市蘆洲區中山一路55號,https://www.google.com/maps/place/%E5%B0%8F%E6%99%82%E5%85%89our+times/data=!4m7!3m6!1s0x3442a8cfcac13e2f:0x5ca11c39b91d4c6!8m2!3d25.0808621!4d121.4785593!16s%2Fg%2F11bcf4d8dl!19sChIJLz7Bys-oQjQRxtSRm8MRygU?authuser=0&hl=zh-TW&rclk=1
醉餓感餐酒館Drunk&Hungry-蘆洲深夜酒吧|人氣酒吧|聚餐餐廳|必吃餐酒館|打卡餐酒館|深夜餐酒館|首選餐酒館|必吃餐廳,4.9 ,95,247新北市蘆洲區三民路139號,https://www.google.com/maps/place/%E9%86%89%E9%A4%93%E6%84%9F%E9%A4%90%E9%85%92%E9%A4%A8Drunk%26Hungry-%E8%98%86%E6%B4%B2%E6%B7%B1%E5%A4%9C%E9%85%92%E5%90%A7%7C%E4%BA%BA%E6%B0%A3%E9%85%92%E5%90%A7%7C%E8%81%9A%E9%A4%90%E9%A4%90%E5%BB%B3%7C%E5%BF%85%E5%90%83%E9%A4%90%E9%85%92%E9%A4%A8%7C%E6%89%93%E5%8D%A1%E9%A4%90%E9%85%92%E9%A4%A8%7C%E6%B7%B1%E5%A4%9C%E9%A4%90%E9%85%92%E9%A4%A8%7C%E9%A6%96%E9%81%B8%E9%A4%90%E9%85%92%E9%A4%A8%7C%E5%BF%85%E5%90%83%E9%A4%90%E5%BB%B3/data=!4m7!3m6!1s0x3442a97fb98a85d7:0xf8a4db4431b3545b!8m2!3d25.0864513!4d121.4718538!16s%2Fg%2F11w3bjm5tl!19sChIJ14WKuX-pQjQRW1SzMUTbpPg?authuser=0&hl=zh-TW&rclk=1
酒食幸福 90BISTRO,5.0 ,189,247新北市蘆洲區光復路77巷5號1樓,https://www.google.com/maps/place/%E9%85%92%E9%A3%9F%E5%B9%B8%E7%A6%8F+90BISTRO/data=!4m7!3m6!1s0x3442a913433a834b:0x5feeafaf471f7629!8m2!3d25.0857711!4d121.4639971!16s%2Fg%2F11kb1v673k!19sChIJS4M6QxOpQjQRKXYfR6-v7l8?authuser=0&hl=zh-TW&rclk=1
緣伍串串燒酒吧,5.0 ,108,247新北市蘆洲區三民路185號,https://www.google.com/maps/place/%E7%B7%A3%E4%BC%8D%E4%B8%B2%E4%B8%B2%E7%87%92%E9%85%92%E5%90%A7/data=!4m7!3m6!1s0x3442a90022485d0b:0xb92068cdfc0e8be9!8m2!3d25.0874564!4d121.4707155!16s%2Fg%2F11vxx6kl4j!19sChIJC11IIgCpQjQR6YsO_M1oILk?authuser=0&hl=zh-TW&rclk=1
玖酒炭烤酒吧,4.6 ,150,247新北市蘆洲區長榮路46巷2號,https://www.google.com/maps/place/%E7%8E%96%E9%85%92%E7%82%AD%E7%83%A4%E9%85%92%E5%90%A7/data=!4m7!3m6!1s0x3442a8b760a80d15:0xa8c2619ce5d30251!8m2!3d25.0834619!4d121.4633979!16s%2Fg%2F11c5n4kxxs!19sChIJFQ2oYLeoQjQRUQLT5Zxhwqg?authuser=0&hl=zh-TW&rclk=1
第一歌坊,3.9 ,100,247新北市蘆洲區和平路31號,https://www.google.com/maps/place/%E7%AC%AC%E4%B8%80%E6%AD%8C%E5%9D%8A/data=!4m7!3m6!1s0x3442a97188901327:0x7cb692c100b5bfd3!8m2!3d25.0792276!4d121.4718508!16s%2Fg%2F11f77ynrnc!19sChIJJxOQiHGpQjQR07-1AMGStnw?authuser=0&hl=zh-TW&rclk=1
紅樓酒吧,5.0 ,1,247新北市蘆洲區忠孝路60號,https://www.google.com/maps/place/%E7%B4%85%E6%A8%93%E9%85%92%E5%90%A7/data=!4m7!3m6!1s0x3442a90049716723:0xece73d96dbeec872!8m2!3d25.0848239!4d121.4715497!16s%2Fg%2F11ld3sv4gj!19sChIJI2dxSQCpQjQRcsju25Y95-w?authuser=0&hl=zh-TW&rclk=1
黃金歲月KTV(原銀櫃),3.8 ,184,247新北市蘆洲區成功路132 號,https://www.google.com/maps/place/%E9%BB%83%E9%87%91%E6%AD%B2%E6%9C%88KTV%28%E5%8E%9F%E9%8A%80%E6%AB%83%29/data=!4m7!3m6!1s0x3442a8c904a6fa4b:0xe9d5f605eb67eb2d!8m2!3d25.0829296!4d121.4720352!16s%2Fg%2F11c603y1w_!19sChIJS_qmBMmoQjQRLetn6wX21ek?authuser=0&hl=zh-TW&rclk=1
Aurora Star Bar ｜極光之星,4.9 ,633,241新北市三重區集美街188號,https://www.google.com/maps/place/Aurora+Star+Bar+%EF%BD%9C%E6%A5%B5%E5%85%89%E4%B9%8B%E6%98%9F/data=!4m7!3m6!1s0x3442a97fa5f9cdfb:0xe32d579e89e637a4!8m2!3d25.0535562!4d121.4904723!16s%2Fg%2F11smrxvs92!19sChIJ-835pX-pQjQRpDfmiZ5XLeM?authuser=0&hl=zh-TW&rclk=1
鹿天啤酒屋,4.5 ,186,247新北市蘆洲區復興路159號,https://www.google.com/maps/place/%E9%B9%BF%E5%A4%A9%E5%95%A4%E9%85%92%E5%B1%8B/data=!4m7!3m6!1s0x3442a944c81421a1:0x2cd8faa5eb0a7493!8m2!3d25.0890142!4d121.4781117!16s%2Fg%2F11ghfkv0wp!19sChIJoSEUyESpQjQRk3QK66X62Cw?authuser=0&hl=zh-TW&rclk=1
柔美卡啦0K,4.1 ,94,"No. 35號, No. 35號光復路30巷蘆洲區新北市247",https://www.google.com/maps/place/%E6%9F%94%E7%BE%8E%E5%8D%A1%E5%95%A60K/data=!4m7!3m6!1s0x3442a8b6d6617c91:0xac1204a27594293e!8m2!3d25.0842148!4d121.4638695!16s%2Fg%2F11c0pyflzt!19sChIJkXxh1raoQjQRPimUdaIEEqw?authuser=0&hl=zh-TW&rclk=1
舊老闆舊地標 old profile,4.5 ,225,"B1 No, No. 38號重陽一街蘆洲區新北市247",https://www.google.com/maps/place/%E8%88%8A%E8%80%81%E9%97%86%E8%88%8A%E5%9C%B0%E6%A8%99+old+profile/data=!4m7!3m6!1s0x3442a8d1e9730c93:0x582dcc48596942e5!8m2!3d25.081815!4d121.4811043!16s%2Fg%2F11dyzh4s1c!19sChIJkwxz6dGoQjQR5UJpWUjMLVg?authuser=0&hl=zh-TW&rclk=1
柒息地串燒居酒屋蘆洲集賢店,5.0 ,165,247新北市蘆洲區集賢路216號,https://www.google.com/maps/place/%E6%9F%92%E6%81%AF%E5%9C%B0%E4%B8%B2%E7%87%92%E5%B1%85%E9%85%92%E5%B1%8B%E8%98%86%E6%B4%B2%E9%9B%86%E8%B3%A2%E5%BA%97/data=!4m7!3m6!1s0x3442a94c66418b97:0x1ec7db56e02b38d0!8m2!3d25.0871879!4d121.4830146!16s%2Fg%2F11wfbtsk9j!19sChIJl4tBZkypQjQR0Dgr4Fbbxx4?authuser=0&hl=zh-TW&rclk=1
山雀 Lounge IG 3chay 預約 現場視情況,4.2 ,67,247新北市蘆洲區中山一路108巷3號1樓,https://www.google.com/maps/place/%E5%B1%B1%E9%9B%80+Lounge+IG+3chay+%E9%A0%90%E7%B4%84+%E7%8F%BE%E5%A0%B4%E8%A6%96%E6%83%85%E6%B3%81/data=!4m7!3m6!1s0x3442a9b97e51f9f9:0xd2eee611e3b3593a!8m2!3d25.0817337!4d121.4780103!16s%2Fg%2F11stxjbyxh!19sChIJ-flRfrmpQjQROlmz4xHm7tI?authuser=0&hl=zh-TW&rclk=1
蘆洲星屋卡拉ok,4.2 ,11,247新北市蘆洲區中山二路174號,https://www.google.com/maps/place/%E8%98%86%E6%B4%B2%E6%98%9F%E5%B1%8B%E5%8D%A1%E6%8B%89ok/data=!4m7!3m6!1s0x3442a90021511d75:0xc6484137c3877119!8m2!3d25.0808043!4d121.4706835!16s%2Fg%2F11vp_q5w84!19sChIJdR1RIQCpQjQRGXGHwzdBSMY?authuser=0&hl=zh-TW&rclk=1
青城洋酒,4.7 ,27,247新北市蘆洲區集賢路406號,https://www.google.com/maps/place/%E9%9D%92%E5%9F%8E%E6%B4%8B%E9%85%92/data=!4m7!3m6!1s0x3442a8d1e00a361f:0xb71ba3355ea34891!8m2!3d25.0820416!4d121.4799673!16s%2Fg%2F11b6v4llhw!19sChIJHzYK4NGoQjQRkUijXjWjG7c?authuser=0&hl=zh-TW&rclk=1
歌嘟歌坊,3.7 ,165,247新北市蘆洲區三民路216號,https://www.google.com/maps/place/%E6%AD%8C%E5%98%9F%E6%AD%8C%E5%9D%8A/data=!4m7!3m6!1s0x3442a8ca84c955ef:0xecc5851458d8fd0a!8m2!3d25.0892644!4d121.4689179!16s%2Fg%2F11cn143y_z!19sChIJ71XJhMqoQjQRCv3YWBSFxew?authuser=0&hl=zh-TW&rclk=1
圓緣園純歌坊,3.8 ,93,247新北市蘆洲區中山一路246號,https://www.google.com/maps/place/%E5%9C%93%E7%B7%A3%E5%9C%92%E7%B4%94%E6%AD%8C%E5%9D%8A/data=!4m7!3m6!1s0x3442a8c89c4b2575:0xd916012ce33c9c38!8m2!3d25.0800173!4d121.4722427!16s%2Fg%2F11f3xhpq8s!19sChIJdSVLnMioQjQROJw84ywBFtk?authuser=0&hl=zh-TW&rclk=1
510 音樂酒BAR/飛鏢酒吧/音樂小酒館/音樂餐廳｜台北美食料理餐廳｜台北餐酒館｜台北聚餐｜台北團體聚餐｜在地嚮導評論家【 五星好感度推薦品牌】,4.6 ,240,241新北市三重區仁愛街300號地下1樓,https://www.google.com/maps/place/510+%E9%9F%B3%E6%A8%82%E9%85%92BAR%2F%E9%A3%9B%E9%8F%A2%E9%85%92%E5%90%A7%2F%E9%9F%B3%E6%A8%82%E5%B0%8F%E9%85%92%E9%A4%A8%2F%E9%9F%B3%E6%A8%82%E9%A4%90%E5%BB%B3%EF%BD%9C%E5%8F%B0%E5%8C%97%E7%BE%8E%E9%A3%9F%E6%96%99%E7%90%86%E9%A4%90%E5%BB%B3%EF%BD%9C%E5%8F%B0%E5%8C%97%E9%A4%90%E9%85%92%E9%A4%A8%EF%BD%9C%E5%8F%B0%E5%8C%97%E8%81%9A%E9%A4%90%EF%BD%9C%E5%8F%B0%E5%8C%97%E5%9C%98%E9%AB%94%E8%81%9A%E9%A4%90%EF%BD%9C%E5%9C%A8%E5%9C%B0%E5%9A%AE%E5%B0%8E%E8%A9%95%E8%AB%96%E5%AE%B6%E3%80%90+%E4%BA%94%E6%98%9F%E5%A5%BD%E6%84%9F%E5%BA%A6%E6%8E%A8%E8%96%A6%E5%93%81%E7%89%8C%E3%80%91/data=!4m7!3m6!1s0x3442a8dece18115d:0x6e42f875d56fe1bb!8m2!3d25.0796045!4d121.4920077!16s%2Fg%2F11c60qr4l_!19sChIJXREYzt6oQjQRu-Fv1XX4Qm4?authuser=0&hl=zh-TW&rclk=1
宮城亮串燒 蘆洲三民店(みやぎりょう串焼き),5.0 ,89,247新北市蘆洲區三民路88號,https://www.google.com/maps/place/%E5%AE%AE%E5%9F%8E%E4%BA%AE%E4%B8%B2%E7%87%92+%E8%98%86%E6%B4%B2%E4%B8%89%E6%B0%91%E5%BA%97%28%E3%81%BF%E3%82%84%E3%81%8E%E3%82%8A%E3%82%87%E3%81%86%E4%B8%B2%E7%84%BC%E3%81%8D%29/data=!4m7!3m6!1s0x3442a951b12e3017:0x8ac574f493c29b5a!8m2!3d25.0853486!4d121.4739147!16s%2Fg%2F11wbjny47f!19sChIJFzAusVGpQjQRWpvCk_R0xYo?authuser=0&hl=zh-TW&rclk=1
MK燒烤店(蘆洲店),4.8 ,295,247新北市蘆洲區長榮路698號,https://www.google.com/maps/place/MK%E7%87%92%E7%83%A4%E5%BA%97%28%E8%98%86%E6%B4%B2%E5%BA%97%29/data=!4m7!3m6!1s0x3442a98e00c31c07:0x48a20a94b866ea56!8m2!3d25.0912516!4d121.460414!16s%2Fg%2F11nn36pndc!19sChIJBxzDAI6pQjQRVupmuJQKokg?authuser=0&hl=zh-TW&rclk=1
喝bar,5.0 1 則評論,5.0 顆星 1,247新北市蘆洲區中正路正後巷401巷正後面第二間,https://www.google.com/maps/place/%E5%96%9Dbar/data=!4m7!3m6!1s0x3442a9000345bd6f:0xeb45880b1e7d0d1d!8m2!3d25.0923905!4d121.4633739!16s%2Fg%2F11lcjl0nvm!19sChIJb71FAwCpQjQRHQ19HguIRes?authuser=0&hl=zh-TW&rclk=1
LJ1991餐酒吧,4.7 ,805,241新北市三重區集美街188號,https://www.google.com/maps/place/LJ1991%E9%A4%90%E9%85%92%E5%90%A7/data=!4m7!3m6!1s0x3442a953f306ffd7:0x3a5f7ee3635528b5!8m2!3d25.0535161!4d121.4905581!16s%2Fg%2F11fhr1fnss!19sChIJ1_8G81OpQjQRtShVY-N-Xzo?authuser=0&hl=zh-TW&rclk=1
圍爐卡拉OK,3.8 ,28,247新北市蘆洲區民生街135號,https://www.google.com/maps/place/%E5%9C%8D%E7%88%90%E5%8D%A1%E6%8B%89OK/data=!4m7!3m6!1s0x3442a8c623231581:0x755b525625410463!8m2!3d25.0791085!4d121.4725959!16s%2Fg%2F11qndrpdk8!19sChIJgRUjI8aoQjQRYwRBJVZSW3U?authuser=0&hl=zh-TW&rclk=1
異緗coffee bar | 三重酒吧/駐唱酒吧/音樂餐酒館,4.9 ,322,241新北市三重區正義北路61號二樓,https://www.google.com/maps/place/%E7%95%B0%E7%B7%97coffee+bar+%7C+%E4%B8%89%E9%87%8D%E9%85%92%E5%90%A7%2F%E9%A7%90%E5%94%B1%E9%85%92%E5%90%A7%2F%E9%9F%B3%E6%A8%82%E9%A4%90%E9%85%92%E9%A4%A8/data=!4m7!3m6!1s0x3442a9b65f5c52bf:0xdf00ccb37c405fad!8m2!3d25.064415!4d121.497399!16s%2Fg%2F11s1y2xbwb!19sChIJv1JcX7apQjQRrV9AfLPMAN8?authuser=0&hl=zh-TW&rclk=1
食酒霸Bar,5.0 ,81,"96-8, No. 96之8號自強路二段三重區新北市241",https://www.google.com/maps/place/%E9%A3%9F%E9%85%92%E9%9C%B8Bar/data=!4m7!3m6!1s0x3442a9157b1702d3:0x12aca03bc77d3016!8m2!3d25.0709702!4d121.487433!16s%2Fg%2F11sby1y6qj!19sChIJ0wIXexWpQjQRFjB9xzugrBI?authuser=0&hl=zh-TW&rclk=1
好樂迪KTV 蘆洲店,3.4 ,482,247新北市蘆洲區長榮路238號,https://www.google.com/maps/place/%E5%A5%BD%E6%A8%82%E8%BF%AAKTV+%E8%98%86%E6%B4%B2%E5%BA%97/data=!4m7!3m6!1s0x3442a8cce84c7f99:0x317eddff753ecec9!8m2!3d25.0857117!4d121.4607909!16s%2Fg%2F11g_pfr5h!19sChIJmX9M6MyoQjQRyc4-df_dfjE?authuser=0&hl=zh-TW&rclk=1
星屋歌坊,4.2 11 則評論,4.2 顆星 11,247新北市蘆洲區中山二路174號1樓,https://www.google.com/maps/place/%E6%98%9F%E5%B1%8B%E6%AD%8C%E5%9D%8A/data=!4m7!3m6!1s0x3442a931679e5881:0x6018c06e3f817a58!8m2!3d25.0808043!4d121.4706835!16s%2Fg%2F11vxjrb187!19sChIJgVieZzGpQjQRWHqBP27AGGA?authuser=0&hl=zh-TW&rclk=1
歌后卡啦OK,4.0 ,1,247新北市蘆洲區中山一路,https://www.google.com/maps/place/%E6%AD%8C%E5%90%8E%E5%8D%A1%E5%95%A6OK/data=!4m7!3m6!1s0x3442a9000b8ef75b:0x72001fe74167c733!8m2!3d25.0808788!4d121.4738038!16s%2Fg%2F11vwfd7k26!19sChIJW_eOCwCpQjQRM8dnQecfAHI?authuser=0&hl=zh-TW&rclk=1
1997壹玖酒柒Bar｜三重酒吧｜調酒｜暢飲,5.0 ,599,241新北市三重區中央北路15巷13號,https://www.google.com/maps/place/1997%E5%A3%B9%E7%8E%96%E9%85%92%E6%9F%92Bar%EF%BD%9C%E4%B8%89%E9%87%8D%E9%85%92%E5%90%A7%EF%BD%9C%E8%AA%BF%E9%85%92%EF%BD%9C%E6%9A%A2%E9%A3%B2/data=!4m7!3m6!1s0x3442a943a13a5049:0xbc10a927182a0bb!8m2!3d25.064369!4d121.5013555!16s%2Fg%2F11k3xkh75s!19sChIJSVA6oUOpQjQRu6CCcZIKwQs?authuser=0&hl=zh-TW&rclk=1
邱比特串燒 蘆洲中正店 | 蘆洲美食 蘆洲美食推薦 蘆洲晚餐 蘆洲宵夜 蘆洲必吃,4.4 ,609,247新北市蘆洲區中正路292號,https://www.google.com/maps/place/%E9%82%B1%E6%AF%94%E7%89%B9%E4%B8%B2%E7%87%92+%E8%98%86%E6%B4%B2%E4%B8%AD%E6%AD%A3%E5%BA%97+%7C+%E8%98%86%E6%B4%B2%E7%BE%8E%E9%A3%9F+%E8%98%86%E6%B4%B2%E7%BE%8E%E9%A3%9F%E6%8E%A8%E8%96%A6+%E8%98%86%E6%B4%B2%E6%99%9A%E9%A4%90+%E8%98%86%E6%B4%B2%E5%AE%B5%E5%A4%9C+%E8%98%86%E6%B4%B2%E5%BF%85%E5%90%83/data=!4m7!3m6!1s0x3442a9a3b515abe5:0x68f71216051beee4!8m2!3d25.0903661!4d121.4650602!16s%2Fg%2F11t9q2ch9n!19sChIJ5asVtaOpQjQR5O4bBRYS92g?authuser=0&hl=zh-TW&rclk=1
