店名,評分,評論數,地址,鏈接
海廢bar,5.0 ,34,,https://www.google.com/maps/place/%E6%B5%B7%E5%BB%A2bar/data=!4m7!3m6!1s0x345d5d8fc5e76643:0x5b5751b98a42d4b5!8m2!3d25.023153!4d121.9824618!16s%2Fg%2F11v03lsrtg!19sChIJQ2bnxY9dXTQRtdRCirlRV1s?authuser=0&hl=zh-TW&rclk=1
酒囊飯袋 家常菜餐廳,4.3 ,"1,418",228新北市貢寮區長泰路17之2號,https://www.google.com/maps/place/%E9%85%92%E5%9B%8A%E9%A3%AF%E8%A2%8B+%E5%AE%B6%E5%B8%B8%E8%8F%9C%E9%A4%90%E5%BB%B3/data=!4m7!3m6!1s0x345d5b8fb84af33d:0x827b98554085bf9!8m2!3d25.0208991!4d121.8919363!16s%2Fg%2F11d_tf5kwz!19sChIJPfNKuI9bXTQR-VsIVIW5Jwg?authuser=0&hl=zh-TW&rclk=1
TIKI REPUBLIK,4.8 ,166,228新北市貢寮區東興街17-2號,https://www.google.com/maps/place/TIKI+REPUBLIK/data=!4m7!3m6!1s0x345d5dc06f0db481:0x5f68735b135f9041!8m2!3d25.0193205!4d121.9499568!16s%2Fg%2F11kb7w0ddm!19sChIJgbQNb8BdXTQRQZBfE1tzaF8?authuser=0&hl=zh-TW&rclk=1
懸崖上的餐廳（cilah海的味道）可開放預約,4.7 ,391,228新北市貢寮區蓬萊街18-1號,https://www.google.com/maps/place/%E6%87%B8%E5%B4%96%E4%B8%8A%E7%9A%84%E9%A4%90%E5%BB%B3%EF%BC%88cilah%E6%B5%B7%E7%9A%84%E5%91%B3%E9%81%93%EF%BC%89%E5%8F%AF%E9%96%8B%E6%94%BE%E9%A0%90%E7%B4%84/data=!4m7!3m6!1s0x3442a7c06f8330db:0x67524888656bcb14!8m2!3d24.9868578!4d121.9708804!16s%2Fg%2F11j8d_nj53!19sChIJ2zCDb8CnQjQRFMtrZYhIUmc?authuser=0&hl=zh-TW&rclk=1
The Shack野菇屋Pizza 福隆店,4.1 ,103,228新北市貢寮區東興街69號,https://www.google.com/maps/place/The+Shack%E9%87%8E%E8%8F%87%E5%B1%8BPizza+%E7%A6%8F%E9%9A%86%E5%BA%97/data=!4m7!3m6!1s0x345d5d6756c84f7f:0x15a7fb8f344387fe!8m2!3d25.0167321!4d121.9463788!16s%2Fg%2F11ry2ypxx3!19sChIJf0_IVmddXTQR_odDNI_7pxU?authuser=0&hl=zh-TW&rclk=1
福隆阿芳石花凍,4.2 ,73,228新北市貢寮區福隆街15號,https://www.google.com/maps/place/%E7%A6%8F%E9%9A%86%E9%98%BF%E8%8A%B3%E7%9F%B3%E8%8A%B1%E5%87%8D/data=!4m7!3m6!1s0x345d5c54891c9fdf:0x2cb9d7bd7108b7f1!8m2!3d25.0162651!4d121.9447701!16s%2Fg%2F1tfrv70g!19sChIJ358ciVRcXTQR8bcIcb3XuSw?authuser=0&hl=zh-TW&rclk=1
WOW BURGER 海派廚房,4.3 ,822,228新北市貢寮區東興街67號,https://www.google.com/maps/place/WOW+BURGER+%E6%B5%B7%E6%B4%BE%E5%BB%9A%E6%88%BF/data=!4m7!3m6!1s0x345d5dc87c697cc9:0x5e42145d75fe9cb4!8m2!3d25.0167427!4d121.9464756!16s%2Fg%2F11g0h8hpwz!19sChIJyXxpfMhdXTQRtJz-dV0UQl4?authuser=0&hl=zh-TW&rclk=1
逸茶酒室Golden bar,4.4 ,325,224新北市瑞芳區基山街190號,https://www.google.com/maps/place/%E9%80%B8%E8%8C%B6%E9%85%92%E5%AE%A4Golden+bar/data=!4m7!3m6!1s0x345d451440b0a215:0x485f840f085af656!8m2!3d25.1075524!4d121.842764!16s%2Fg%2F11rv9bsm39!19sChIJFaKwQBRFXTQRVvZaCA-EX0g?authuser=0&hl=zh-TW&rclk=1
山城酒葩,4.3 ,12,224新北市瑞芳區豎崎路24號,https://www.google.com/maps/place/%E5%B1%B1%E5%9F%8E%E9%85%92%E8%91%A9/data=!4m7!3m6!1s0x345d45a03d0129c5:0x2070709926f5f5ec!8m2!3d25.1095671!4d121.8430704!16s%2Fg%2F11vf3ltk1l!19sChIJxSkBPaBFXTQR7PX1JplwcCA?authuser=0&hl=zh-TW&rclk=1
咱倆Our Food Cafe Love,4.6 ,696,228新北市貢寮區桂安街5號,https://www.google.com/maps/place/%E5%92%B1%E5%80%86Our+Food+Cafe+Love/data=!4m7!3m6!1s0x345d5d09385bd165:0xbaa48e4dbbfcde6b!8m2!3d25.0204707!4d121.9624156!16s%2Fg%2F11c5rw1m8s!19sChIJZdFbOAldXTQRa978u02OpLo?authuser=0&hl=zh-TW&rclk=1
