店名,評分,評論數,地址,鏈接
【全預約制】浪聚｜不只是餐酒館？｜浪金山,4.6 ,34,208新北市金山區環金路336號,https://www.google.com/maps/place/%E3%80%90%E5%85%A8%E9%A0%90%E7%B4%84%E5%88%B6%E3%80%91%E6%B5%AA%E8%81%9A%EF%BD%9C%E4%B8%8D%E5%8F%AA%E6%98%AF%E9%A4%90%E9%85%92%E9%A4%A8%EF%BC%9F%EF%BD%9C%E6%B5%AA%E9%87%91%E5%B1%B1/data=!4m7!3m6!1s0x345d4dcc59691dcf:0x9334960999c87f76!8m2!3d25.2206698!4d121.6323436!16s%2Fg%2F11vlcrgv_2!19sChIJzx1pWcxNXTQRdn_ImQmWNJM?authuser=0&hl=zh-TW&rclk=1
No.82 Drawing room(82號客廳）,4.8 ,37,100台北市中正區金山南路一段82號,https://www.google.com/maps/place/No.82+Drawing+room%2882%E8%99%9F%E5%AE%A2%E5%BB%B3%EF%BC%89/data=!4m7!3m6!1s0x3442a9f476bbbec3:0x401c268c8288ecac!8m2!3d25.036303!4d121.5275463!16s%2Fg%2F11px9fp86p!19sChIJw767dvSpQjQRrOyIgowmHEA?authuser=0&hl=zh-TW&rclk=1
曼特寧庭園咖啡,3.8 ,"1,850",208新北市金山區環金路247號,https://www.google.com/maps/place/%E6%9B%BC%E7%89%B9%E5%AF%A7%E5%BA%AD%E5%9C%92%E5%92%96%E5%95%A1/data=!4m7!3m6!1s0x345d4caa10d54a29:0x127d99332bd4fac5!8m2!3d25.220252!4d121.63207!16s%2Fg%2F1tgdqw7r!19sChIJKUrVEKpMXTQRxfrUKzOZfRI?authuser=0&hl=zh-TW&rclk=1
ROXY 36 CAFE 樂嬉咖啡餐館,4.5 ,225,106604台北市大安區金山南路二段222號1樓,https://www.google.com/maps/place/ROXY+36+CAFE+%E6%A8%82%E5%AC%89%E5%92%96%E5%95%A1%E9%A4%90%E9%A4%A8/data=!4m7!3m6!1s0x3442a9db322f1d01:0x2b21cd10d7e53273!8m2!3d25.0275294!4d121.5258961!16s%2Fg%2F11sn7lc34r!19sChIJAR0vMtupQjQRczLl1xDNISs?authuser=0&hl=zh-TW&rclk=1
衝浪餐廳Summer Bar,5.0 ,1,208新北市金山區海興路162-1號,https://www.google.com/maps/place/%E8%A1%9D%E6%B5%AA%E9%A4%90%E5%BB%B3Summer+Bar/data=!4m7!3m6!1s0x345d4beedfe3eda9:0x4516322aa31f35dd!8m2!3d25.2392433!4d121.6327928!16s%2Fg%2F11lgdk2vtp!19sChIJqe3j3-5LXTQR3TUfoyoyFkU?authuser=0&hl=zh-TW&rclk=1
Goldbar金條酒吧,4.8 37 則評論,4.8 顆星 37,208台北市金山區安東街,https://www.google.com/maps/place/Goldbar%E9%87%91%E6%A2%9D%E9%85%92%E5%90%A7/data=!4m7!3m6!1s0x3442abe71dd5edfd:0xd9abb74775c93556!8m2!3d25.0461133!4d121.5421096!16s%2Fg%2F11krr9wl9l!19sChIJ_e3VHeerQjQRVjXJdUe3q9k?authuser=0&hl=zh-TW&rclk=1
兄弟食堂,4.1 ,"2,335",208新北市金山區金包里街2號,https://www.google.com/maps/place/%E5%85%84%E5%BC%9F%E9%A3%9F%E5%A0%82/data=!4m7!3m6!1s0x345d4b57ef95a0e5:0x6276927cc845fe05!8m2!3d25.2205667!4d121.6405643!16s%2Fg%2F11b67qv4hq!19sChIJ5aCV71dLXTQRBf5FyHySdmI?authuser=0&hl=zh-TW&rclk=1
Q.B.Days靠北過日子(無法訂位、打烊前90分鐘停餐）,4.2 ,"1,904",208新北市金山區海興路174號,https://www.google.com/maps/place/Q.B.Days%E9%9D%A0%E5%8C%97%E9%81%8E%E6%97%A5%E5%AD%90%28%E7%84%A1%E6%B3%95%E8%A8%82%E4%BD%8D%E3%80%81%E6%89%93%E7%83%8A%E5%89%8D90%E5%88%86%E9%90%98%E5%81%9C%E9%A4%90%EF%BC%89/data=!4m7!3m6!1s0x345d4b4bc59d5a97:0xf5ddaa36560b697b!8m2!3d25.2400205!4d121.6328965!16s%2Fg%2F11clwc7b1k!19sChIJl1qdxUtLXTQRe2kLVjaq3fU?authuser=0&hl=zh-TW&rclk=1
金山不遠吧 Bar & Bistro,評分未找到,評論數未找到,208新北市金山區海興路123號,https://www.google.com/maps/place/%E9%87%91%E5%B1%B1%E4%B8%8D%E9%81%A0%E5%90%A7+Bar+%26+Bistro/data=!4m7!3m6!1s0x345d4b4b90ace697:0x7318575eb6c39986!8m2!3d25.2393297!4d121.6319068!16s%2Fg%2F11g9r4xjk0!19sChIJl-askEtLXTQRhpnDtl5XGHM?authuser=0&hl=zh-TW&rclk=1
Rooftop Chill Zone 海邊屋頂上,3.0 ,3,20843新北市金山區海興路50-1號,https://www.google.com/maps/place/Rooftop+Chill+Zone+%E6%B5%B7%E9%82%8A%E5%B1%8B%E9%A0%82%E4%B8%8A/data=!4m7!3m6!1s0x345d4be5eeec90e7:0x109a4dce01adaf2f!8m2!3d25.2381579!4d121.6311491!16s%2Fg%2F11gxm8xqy4!19sChIJ55Ds7uVLXTQRL6-tAc5NmhA?authuser=0&hl=zh-TW&rclk=1
