Original,EN,Needs Review
"煎豬肝很特別！蚵仔酥超大顆的～
炒蛤蜊的味道也很棒！是白飯殺手～
墨魚香腸外皮酥脆口感好棒👍
相較之下鹽焗雞就很平凡～不一定要點！","Fried pork liver is very special!Taipan crispy is large ~
The taste of fried clams is also great!It's a rice killer ~
Cordywood sausage is crispy and crispy.
In contrast, salted chicken is very ordinary ~ no need to order!",False
"老店、老廚師的～好味道

煎豬肝👉鹹香好吃很下飯
但豬肝刀功有點切太薄，有點過熟略硬

蚵仔酥👉炸工厲害，不卡油

炒蜆仔👉吸附湯汁，很對味

排骨冬瓜湯👉湯頭適中，不油膩","Old shops, old chefs ~ good taste

Fried pork liver 👉 salty fragrance is delicious and delicious
But pork liver knife is a bit too thin, a bit too familiar

The fries of the Taipa Crispy Outrassment are powerful, not stuck in oil

Stir -stir -fried Tabies adsorbed soup, it is very right

Pork rib winter melon soup soup is moderate, not greasy",False
"第一次和教友ㄧ起，真的很會點，每道菜都好好吃
去金山只知道吃鵝肉🤣，真的不好吃！！

大家來試試這家，驚為天人💕","For the first time with the church friends, I really can order, each dish is delicious
Going to Jinshan only knows that eating goose meat is really not delicious!Intersection

Let's try this one, shocked by heavenly",False
"兩個人點了生魚片+燙蝦+墨魚香腸+炒海菜共四樣菜，結帳1000元，價格ok。
份量足夠，生魚片大塊新鮮，進門詢問是否有菜單，老闆說沒有菜單，對於不清楚的售價是有點想打退堂鼓，吃完結帳覺得價格還可以接受。","Two people ordered a sashimi+hot shrimp+cuttlefish sausage+fried sea dishes. There are four dishes.
The weight is sufficient, the sashimi is fresh and fresh, and the door to ask if there is a menu. The boss said that there is no menu. The price of unclear is a bit of retreat. After eating the account, the price is acceptable.",False
"東西給的大方，口味也很不錯，這次我們是家族旅遊，所以25個人，訂了兩桌菜，沒有點餐，而是給店家6000元後採用無菜單料理形式。
內容有油飯煎豬肝（超級推薦，豬肝定要吃，鮮嫩不粉）、清蒸龍膽石斑（肉質Q彈）、青蟹板條、烤雞（很鮮嫩多汁）、髮菜海鮮卷（定要吃，內有荸薺增加脆口度）、佛跳牆（定要吃，清甜，內容豐富）、生魚片（不推）、涼拌菜（鮑魚片、干貝唇...）、龍蝦三明治（很特別，蠻喜歡的）、腿褲魚翅魚羹、豬腸四神湯（很夠味，喝了好幾碗，還有人打包）....
地點就在金山老街旁邊，吃完還可以逛一下老街消消食，再前往下一個景點，蠻不錯的規劃！","The generous taste is also very good. This time we are family tourism, so 25 people have ordered two tables of dishes. They have no order. Instead, they use menu -free cooking forms for the store.
There are oil rice fried pork liver (super recommended, pork liver must be eaten, fresh and tender), steamed dragon bile grouper (meat Q bombs), green crab board, grilled chicken (very fresh and juicy), sauce seafood rolls (You must eat it, there is a crispy mouth in the inside), the Buddha jumps the wall (must be eaten, sweet, rich in content), sashimi (not pushing), cold dishes (abalone slices, scallops lips ...), lobster sandwiches, and lobster sandwiches. (Very special, quite like), legs pants, fish fin, fish soup, pork intestine four soup (very delicious, drink several bowls, and some people pack) ...
The location is next to Jinshan Old Street. After eating, you can also visit the old street to eliminate food, and then go to the next attraction. It is pretty good planning!",False
"餐點還ok,但是今天菜單有算錯價格，好險朋友有發現到，不然就被坑了，點餐時請各位注意加總，謝謝","The meal is still ok, but today the menu has a wrong price. Good insurance friends have discovered it, otherwise it will be pitted. Please pay attention when ordering. Thank you",False
"二訪
花椰菜炒大腸必點
髮菜魚捲不錯
墨魚香腸
蝦就算了，可能是當天的我不愛。","Second visit
Caaca fried large intestine must be ordered
Vegetable fish rolls are good
Scalp
Even if the shrimp, I may not love that day.",False
食材滿新鮮~味道很入味，除了白斬雞不是我們爱的口味~香煎豬肝好吃,"The ingredients are full of freshness ~ The taste is very delicious, except that white chopped chicken is not the taste of our love ~ fried pork liver is delicious",False
"超美味的古早味辦桌菜
糖醋肉，冬瓜排骨湯，炒蛤蜊，讚讚讚","Super delicious old -fashioned table dishes
Sweet and sour meat, winter melon ribs soup, fried clams, praise and praise",False
"真的是飽到天靈蓋的一餐
長輩也稱讚跟小時候的味道一樣
海鮮新鮮沒話說
炸全雞也很鮮嫩","It's really full of meals to Tianling
Elders also praise the same taste as when I was a kid
Seafood is fresh and nothing to say
Fried chicken is also very tender",False
"相隔20年...美味不變、在地好味道。
還好提早11點到;雖然是平日星期一近中午人潮也是湧現滿座😱","20 years apart ... delicious and good taste.
Fortunately, to 11 o'clock in advance; although the crowds of people on weekdays are also full of people.",False
我跟我先生就愛在台灣四處走走吃吃，尤其對台灣保有早期台灣味的餐館更是迷戀與忠愛，故對台灣早期餐館定時時念念到訪用餐，我先生必與餐廳老板或老板娘話家常問下一代接班（頂起來了嗎）沒，真真關心的是台灣老口味的傳承，真心祝福老店長長久久。,"My husband and I love to eat around Taiwan. Especially for restaurants in Taiwan, which has early flavor of Taiwan, it is even more obsessed with and loyal. The boss's mother often asked the next generation of successor (is it up?) Did you really care about the inheritance of the old taste of Taiwan, and sincerely wish the old manager for a long time.",False
價格合理，海鮮很新鮮，每次去金山老街都會來吃😋,"The price is reasonable, seafood is very fresh, every time you go to Jinshan Old Street, you will come to eat.",False
"舅舅每次來金山都要吃的店
墨魚香腸：搭配蒜頭很好吃
髮菜魚捲：用髮菜羹去料理不錯吃
炒豬肝：好像是照燒醬去炒，豬肝也蠻嫩的，不會咬不動
花椰菜乾滷大腸：花椰菜乾吃起來像筍乾，大腸滷得很入味
有來金山的人可以來這邊吃看看","Every time I come to Jinshan, I have to eat a shop
Ink fish sausage: It's delicious with garlic
Send vegetable fish roll: good food to cook with a vegetable ravioli
Stir -fried pork liver: It seems to be frying the roast sauce, the pork liver is quite tender, you can’t bite
Cauliflower dried brine large intestine: The dried broccoli tastes like dried bamboo shoots, and the large intestine is very delicious
People who come to Jinshan can come here to eat and see",False
海鮮很新鮮，但炒大腸真的不推！,"The seafood is fresh, but the stir -fried large intestine does not push it!",False
好吃又有特色服務人員親切😍💯,It's delicious and distinctive.,False
口味稍重如果沒喝酒一定要點白飯來配，香腸跟豬肝必點，花椰菜乾的大腸有腥味很可惜，不然蠻喜歡這種古早味的菜，清蒸龍虎斑一定要點活體別點活凍的，1兩差10塊錢直接吃活的才會有吃石斑魚的口感，整體而言還不錯是會想再光顧的店,"The taste is slightly heavier. If you do n’t drink alcohol, you must order rice to match. The sausage and pork liver must order. The large intestine of the dried cauliflower has a fishy smell. , 1 Two -dollar, 10 yuan, can eat the taste of grouper fish directly. Overall, it is not bad.",False
每次參加團體北海岸旅遊必到之處，主要停車場寬敞，可容納多輛遊覽車。出菜速度很快，因是團膳菜色很普通，但食材相當新鮮且不死鹹。,"Every time you participate in the north coast of the group, the main parking lot is spacious and can accommodate multiple tour buses.The dishes are fast, because the diet is very ordinary, but the ingredients are quite fresh and not dead and salty.",False
熱門的金山在地美食餐廳，招牌菜有香煎豬肝、墨魚香腸、花椰菜乾滷大腸等。不過很不好的是，菜的價格非常不透明，牆上沒有告示，也沒有菜單，而且店家還會看人比較多就自動升級大盤的量但不主動告知客人，所以價格很亂，也很不一致，去過三次都是這樣。雖然菜是好吃的，但這樣的收費方式蠻不好的，希望店家能注意並把價格公示。謝謝！,"The popular Kingsoft is located in the ground food restaurant. The signature dishes include fried pork liver, cuttlefish sausage, and dried brown into the large intestine.However, it is very bad that the price of the dishes is very opaque, there are no notices on the wall, no menu, and the store will automatically upgrade the volume of the broader market, but do not actively inform the guests, so the price is messy and inconsistent. This is the case three times.Although the dishes are delicious, this kind of charging method is quite bad. I hope the store can pay attention to and publicize the price.Thanks!",False
"香煎豬肝 墨魚香腸 清蒸魚 份量大又美味
價格又實惠，是金山地區不錯的家庭聚餐選擇

再訪指數：85","Crystal pork liver cut fish sausage steamed fish is large and delicious
The price is affordable, it is a good family dinner option in the Jinshan area

Re -visit index: 85",False
"餐廳是沒有特別的裝璜，但
老闆的手路菜還是會讓人回味，特別的想念
價格也不貴喔
特別推薦
嫩煎豬肝，花菜乾肥腸，髮菜魚卷
炒地瓜葉
超級下飯
點了一尾大石斑魚
做兩吃，清蒸 味磳魚湯
吃的好飽好滿足","The restaurant has no special decoration, but
The boss's handy dishes will still make people remember, and I miss it especially
The price is not expensive
Special recommendation
Tender fried pork liver, dried cauliflower fat intestines, rolls of vegetables
Stir -fry
Super meal
Ordered a large grouper
Make two foods, steamed catfish soup
Eat well and satisfied",False
今日消費$2215，點了透抽.蝦子.炸鮮蚵.炒蛤蜊.豬肝.空心菜.鮮魚味增湯，每一道菜都很新鮮又好吃，讓我驚艷的是透抽鮮甜又帶一點脆度，醬炒豬肝鹹香下飯.口感又嫩，鮮魚味增湯調味的很出色，喝了好多碗湯😄，下次還會想再來吃，推薦！,"Today I spent $ 2215, ordered through soy sauce. Shrimp. Frying fresh, fried clams, pork liver, spinach, fresh fish flavor soup, each dish is very fresh and delicious, what makes me amazing, sweet and sweet A little crispy, fried pork liver salty fragrance. The taste is tender, and the flavor of fresh fish flavor is excellent. I drink a lot of soup soup, and I will want to eat it next time. I recommend it!",False
