Original,EN
"北市近郊，金山區域的咖啡簡餐，營業時間很長。
餐點還算ok，有小火鍋跟套餐。有點像是以前的泡沫紅茶店🤣
環境尚稱可以，有造景魚池。
自備停車場，免費停車。","In the suburbs of Beishi, coffee meals in the Jinshan area have a long business time.
The meal is OK, there are small hot pot and set meal.It's a bit like the previous foam black tea shop 🤣
The environment is still called, and there is a landscape fish pond.
Bring your own parking lot, free parking."
"現金交易。

麻辣火鍋390.有附紅茶，東西都算是很不錯，個人是好飽。

椒麻雞套餐320也有紅茶，炸的酥脆，口感滿意。

不另收服務費，下次會再來訪。","Cash transactions.

Spicy Hot Pot 390. There are black tea, everything is very good, and individual is full.

The pepper hemp chicken package 320 also has black tea, fried crispy and satisfactory taste.

Do not collect separately, and will visit again next time."
停車場很大，好停車。 用餐環境不錯，座位數算多，餐點算多元，今天點的豆酥鱈魚、椒麻雞、馬頭魚都不錯吃，附飲料。 點心類的薯條、雞塊還有鬆餅，都很不錯，價格CP值還不錯，也沒有時間壓力。,"The parking lot is very large, good parking.The dining environment is good, the number of seats is large, and the meals are diverse. The bean cod, pepper chicken, and horse head fish I ordered today are good.Dim Simson French fries, chicken nuggets and muffins are very good. The price CP value is not bad, and there is no time pressure."
"環境不錯、座位很多、有停車場🅿️
餐點普通、有後花園有魚池
下午茶沒蛋糕、點火鍋的人多","Good environment, many seats, there are parking lots 🅿️
The meal is ordinary, there is a fish pond with a back garden
There are many people who have no cakes in the afternoon tea, and there are many people in the hot pot"
早上九點有咖啡和簡單的早餐。很適合盛夏看完附近溼地的荷花或者中角灣玩完水之後來休息吃早餐。,"There are coffee and simple breakfast at nine o'clock in the morning.It is very suitable for the lotus flowers in the nearby wetland or after playing with the water in the nearby wetland, come to rest for breakfast."
"停車方便
環境明亮乾淨
餐點選擇眾多也真不錯吃
價位不高。

PS:評價僅個人主觀判斷與感受。","Convenient parking
Bright and clean environment
It ’s really good to choose a lot of meals
The price is not high.

PS: Evaluation only personal subjective judgment and feelings."
"椒麻雞飯320飯粒很不好吃,配菜只有兩樣,CP值很低,配餐只是簡單的玉米湯、奶茶,好處大概就是免收服務費吧","The pepper hemp chicken rice 320 rice grains are not delicious, the side dishes are only the same, the CP value is very low, and the meal is just simple corn soup and milk tea. The benefits are probably free of service fees."
"怕給五顆星以後就人太多了
食物好吃
好停車
廁所乾淨
飲料送錯立刻補送
我吃煎午仔魚套餐+冰拿鐵
酥脆美味油香開胃
嚐了兩隻朋友的餐分食的小卷
新鮮好吃❤️
一行四人都誇讚❤️","I'm afraid there will be too many people after giving five stars
Food is delicious
Park
Toilet
Drink the wrong drink and send it immediately
I eat fried lunch fish set+ice latte
Crispy delicious oily appetizer
Taste the small rolls of meals of two friends
Fresh and delicious ❤️
A group of four praise ❤️"
"海鮮好吃, 來很多次了,
但今天人好多喔!! 等好久~~😥","The seafood is delicious, it has been here many times,
But there are a lot of people today !! Wait a long time ~~ 😥"
"每次來必點紅條魚，新鮮美味
咖啡也很好喝
服務親切","Every time you come, you must order red bar fish, fresh and delicious
Coffee is also delicious
Intimate service"
"莫名其妙的店
點餐等了50分鐘以上
好不容易出餐然後還出錯
不知道這家店是人手不足還是怎麼
平日還能又慢又錯
點了椒麻雞，硬到咬不動","Inexplicable shop
I ordered for more than 50 minutes
After all, I finally made a meal and then made a mistake
I don't know if this shop is not hand -of -hand or what
Can be slow and wrong on weekdays
I ordered the pepper hemp chicken, so hard to bite"
"有米奇出現😨，打包走人
打包方式也太隨便了，只有鬆餅主體，蜂蜜和奶油都沒附 …","Mickey appears, packing away
The packaging method is too casual. Only the main body of the muffin, the honey and cream are not attached ..."
