店名,評分,評論數,地址,鏈接
水水弎栖_Dew Cafe,4.8 ,94,,https://www.google.com/maps/place/%E6%B0%B4%E6%B0%B4%E5%BC%8E%E6%A0%96_Dew+Cafe/data=!4m7!3m6!1s0x345d5b8b84363af5:0x1293340dba75341b!8m2!3d25.0323562!4d121.8658629!16s%2Fg%2F11tn4123mm!19sChIJ9To2hItbXTQRGzR1ug00kxI?authuser=0&hl=zh-TW&rclk=1
逸茶酒室Golden bar,4.4 ,325,224新北市瑞芳區基山街190號,https://www.google.com/maps/place/%E9%80%B8%E8%8C%B6%E9%85%92%E5%AE%A4Golden+bar/data=!4m7!3m6!1s0x345d451440b0a215:0x485f840f085af656!8m2!3d25.1075524!4d121.842764!16s%2Fg%2F11rv9bsm39!19sChIJFaKwQBRFXTQRVvZaCA-EX0g?authuser=0&hl=zh-TW&rclk=1
斯陋,3.8 ,408,227新北市雙溪區中山路58號,https://www.google.com/maps/place/%E6%96%AF%E9%99%8B/data=!4m7!3m6!1s0x345d5ba8fc746153:0xc4b35315d2999843!8m2!3d25.032316!4d121.866155!16s%2Fg%2F11z9zxbbv!19sChIJU2F0_KhbXTQRQ5iZ0hVTs8Q?authuser=0&hl=zh-TW&rclk=1
牡丹雲水聚杯,4.5 ,155,227新北市雙溪區牡丹路142號,https://www.google.com/maps/place/%E7%89%A1%E4%B8%B9%E9%9B%B2%E6%B0%B4%E8%81%9A%E6%9D%AF/data=!4m7!3m6!1s0x345d5b5368eccc69:0x7f40d5630448c857!8m2!3d25.0588937!4d121.8506681!16s%2Fg%2F11rsp97b3r!19sChIJaczsaFNbXTQRV8hIBGPVQH8?authuser=0&hl=zh-TW&rclk=1
Book ing 中山店｜中山大同區推薦酒吧、聚餐、約會餐酒館,4.9 ,"1,695",103台北市大同區民生西路78號二樓之4 ～我們在2樓,https://www.google.com/maps/place/Book+ing+%E4%B8%AD%E5%B1%B1%E5%BA%97%EF%BD%9C%E4%B8%AD%E5%B1%B1%E5%A4%A7%E5%90%8C%E5%8D%80%E6%8E%A8%E8%96%A6%E9%85%92%E5%90%A7%E3%80%81%E8%81%9A%E9%A4%90%E3%80%81%E7%B4%84%E6%9C%83%E9%A4%90%E9%85%92%E9%A4%A8/data=!4m7!3m6!1s0x3442a98b1200c74d:0xc4620b534b6c5b60!8m2!3d25.0574809!4d121.5203365!16s%2Fg%2F11ryhkcjlx!19sChIJTccAEoupQjQRYFtsS1MLYsQ?authuser=0&hl=zh-TW&rclk=1
海神弄局餐酒吧--新北永和(調酒無限暢飲，酒吧，調酒，酒吧，餐酒館，海鮮餐酒館，宵夜推薦),5.0 ,903,234新北市永和區保平路188號,https://www.google.com/maps/place/%E6%B5%B7%E7%A5%9E%E5%BC%84%E5%B1%80%E9%A4%90%E9%85%92%E5%90%A7--%E6%96%B0%E5%8C%97%E6%B0%B8%E5%92%8C%28%E8%AA%BF%E9%85%92%E7%84%A1%E9%99%90%E6%9A%A2%E9%A3%B2%EF%BC%8C%E9%85%92%E5%90%A7%EF%BC%8C%E8%AA%BF%E9%85%92%EF%BC%8C%E9%85%92%E5%90%A7%EF%BC%8C%E9%A4%90%E9%85%92%E9%A4%A8%EF%BC%8C%E6%B5%B7%E9%AE%AE%E9%A4%90%E9%85%92%E9%A4%A8%EF%BC%8C%E5%AE%B5%E5%A4%9C%E6%8E%A8%E8%96%A6%29/data=!4m7!3m6!1s0x3442a964c11be2d5:0xee1aeb436e80992b!8m2!3d25.0066144!4d121.510596!16s%2Fg%2F11sc_h8yjb!19sChIJ1eIbwWSpQjQRK5mAbkPrGu4?authuser=0&hl=zh-TW&rclk=1
暫時飲所TEMPbar,4.8 ,263,234新北市永和區中正路640號,https://www.google.com/maps/place/%E6%9A%AB%E6%99%82%E9%A3%B2%E6%89%80TEMPbar/data=!4m7!3m6!1s0x3442a9bada532eef:0x4bc7504a6347d7ca!8m2!3d25.0083264!4d121.517099!16s%2Fg%2F11pvbblnsz!19sChIJ7y5T2rqpQjQRytdHY0pQx0s?authuser=0&hl=zh-TW&rclk=1
PATINA Lounge,4.8 ,430,104台北市中山區雙城街25巷2號之 1,https://www.google.com/maps/place/PATINA+Lounge/data=!4m7!3m6!1s0x3442a94538b998df:0x91c8aa5b39fc791!8m2!3d25.0661729!4d121.5245906!16s%2Fg%2F1thzllk8!19sChIJ35i5OEWpQjQRkcefs6WKHAk?authuser=0&hl=zh-TW&rclk=1
解憂客棧Bar,4.9 ,825,262宜蘭縣礁溪鄉仁愛路45號,https://www.google.com/maps/place/%E8%A7%A3%E6%86%82%E5%AE%A2%E6%A3%A7Bar/data=!4m7!3m6!1s0x3467fb7c37ad0f15:0x83dcaeb4a697e62!8m2!3d24.8265972!4d121.7697424!16s%2Fg%2F11qpg18hz1!19sChIJFQ-tN3z7ZzQRYn5pSuvKPQg?authuser=0&hl=zh-TW&rclk=1
Bar ansleep Taipei,4.4 ,291,10491台北市中山區雙城街13巷20-1號,https://www.google.com/maps/place/Bar+ansleep+Taipei/data=!4m7!3m6!1s0x3442a944c48e6faf:0xcfdde483a76cfb82!8m2!3d25.0640524!4d121.5250286!16s%2Fg%2F11b6371s3l!19sChIJr2-OxESpQjQRgvtsp4Pk3c8?authuser=0&hl=zh-TW&rclk=1
