Original,EN,Needs Review
因為太好吃了所以只拍了兩道就受不了了。一定要來吃吃看。剛好我們春酒辦這邊。份量一桌10人，吃很飽份量十足。推,"Because it was so delicious, I couldn't stand it only two times.Be sure to eat and eat.It happened to be here.10 people at a table of weight, full of full weight.push",False
在對鶯歌的熱炒店已不懷期待之下，太鼓翻轉了我對熱炒店的刻板印象，每道菜色的調味醬汁不重覆，都有自己的風味，價格更是合理。謝謝店家的存在，讓食客有個好去處。,"Under the high expectations of the hot fried shop in Yingge, Taiko flipped my stereotype of the hot speculation shop. The seasoning sauce of each dish does not overwhelm it, it has its own flavor, and the price is reasonable.Thank you for the existence of the store, so that diners have a good place.",False
今天點的餐點都還不錯，但金沙豆腐炸的太黑，味道有點奶油味少了鹹蛋黃味道,"The meals I ordered today are not bad, but the golden sand tofu is too dark, and the taste is a bit creamy.",False
色香味俱全，好吃,"The color and fragrance are all, delicious",False
好吃！各式熱炒都很頂！炒飯也很強,tasty!All kinds of hot frying are very top!Fried rice is also very strong,False
鶯歌難得有一家開到凌晨1點😆不錯的喝酒場所～,Yingge rare a house to drink at 1 am.,False
鮭魚炒飯，$160，香氣四溢，份量也足，不過有吃到好幾次硬硬的碎塊，不確定是骨頭還啥，建議點別種炒飯，熱炒改天再來嘗試～,"Salmon fried rice, $ 160, full of aroma, and sufficient portion, but there are several hard pieces that have been eaten several times.",False
"1.鮭魚炒飯是我在鶯歌區目前吃過最好吃的！
2.烤中卷的火侯是恰到好處，外加醃蘿蔔絲，可謂是人間美味！
3.水煮牛肉，這不得不說實在是太讚了！","1. Salmon fried rice is the best one I have eaten in Yingge District!
2. The fire in the roasting roll is just right. Add pickled radish shredded, which is delicious on earth!
3. Boiled beef, this has to be really praised!",False
熱炒快速，好吃，值得推薦,"Hot fry quickly, delicious, worth recommending",False
"便宜又實在
還有招待","Cheap and real
Also entertain",False
"白飯吃到飽 熱炒好吃 記得要加辣
適合聚餐小酌","Rice is full of hot and hot. Remember to add spicy
Suitable for dinner",False
金牌啤酒一瓶100 田雞湯還不錯喝,"Gold medal beer, a bottle of 100 field chicken soup is not bad",False
台式地道熱炒燒烤，喝酒小聚的好地方，消費不貴,"The tunnel -type hot stir -fry barbecue, a good place for drinking and drinking, consumption is not expensive",False
開理事會議，順便餐敘,"Open a directors meeting, by the way",False
"招呼好，食物好
值得再來","Good greetings, good food
Worth coming again",False
不錯的店,Good shop,False
好吃又新鮮,Delicious and fresh,False
食材新鮮美味～,The ingredients are fresh and delicious ~,False
每道菜都超好吃！ ！,Each dish is super delicious!Intersection,False
真的好吃大推,Really delicious push,False
很棒，非常友好的人們和美味的食物！,"Great, very friendly people and delicious food!",False
方便好吃,Easy to delicious,False
好吃,tasty,False
