Original,EN,Needs Review
"花了大概2000左右 兩人吃到蠻飽的 沒注意看價格
生食干貝  生蠔不錯   湯一般 炸物普通
肉串蔥很多小生  不好咬
其他沒什麼好吃印象  就是肉  有熟
啤酒玻璃瓶瓶裝無好壞
綜合生魚片  量少  品質中下
最不能接受的是魚鱗沒有去乾淨
環境不錯
氣氛一般
服務很好👍🏻
地點好   邀請朋友來坐火車方便
酒喝多一點一直聊天就會忘記以上那些缺點
第一次可以去看看  但第二次會考慮去別間","It took about 2000 to eat the price and did not pay attention to the price
Raw food scallops oysters, good soups are ordinary fried, ordinary fried objects are ordinary
There are many small girls who are not easy to bite with meat skewers
No other delicious impression is that the meat is familiar
Beer glass bottle is not good or bad
Comprehensive sashimi amount of sashimi
The most unacceptable is that the fish scales are not cleaned
Good environment
Average atmosphere
The service is very good
The location is easy to invite friends to take the train for convenience
If you drink a little more, you will forget the above disadvantages
I can go to see the first time but the second time I will consider going",False
推薦烤扇貝，湯汁散發著奶油的香氣，烤松阪豬，香且有嚼勁，明太子烤雞肉串也很驚艷，主菜點的日式炒麵也好吃，且吃得挺飽的,"It is recommended to grill scallops. The soup exudes cream aroma, roasted pine pigs, fragrant and chewy, and the skewers of the Ming Prince are also amazing. The Japanese -style fried noodles of the main dish are also delicious.",False
"每次的擦身而過
才換來這次的相遇
這次相遇不負眾望
已經想好哪次約會就選定這

餐點部分走精緻路線
雖不多但每一口都不失望
但也有部分走重量級
能吃的剛好還得留酒的胃
酒單飲品種類多到難抉擇
周三女孩暢飲日真不錯

老闆、闆娘親切招呼
暢飲時間到還額外招待酒品
時而聊聊、時而舉杯
一切都這麼的自在","Pass your body every time
Only in exchange for this encounter
This time, I live up to expectations
I have thought about which date, and I choose this

The meal part takes the exquisite route
Although not many, every bite is not disappointed
But there are also some heavyweight
The stomach that can be eaten just has to stay alcohol
There are so many types of wine drinks that are so hard to choose
It's good to drink on Wednesday, the girl drinking day is really good

Boss, Ban Niang greeted cordial greetings
Drink time until you still entertain the wine
Sometimes chat, sometimes toast
Everything is so comfortable",False
"個人口味心得
海鮮有腥味(蛤蜊還ok)
肉類咬不太斷
雞軟骨還ok","Personal taste experience
Seafood has a fishy smell (clam is still ok)
The meat is not very broken
Chicken cartilage is OK",False
"生食干貝高麗菜看似家常的炒高麗菜，實際上真的很好吃，是有豐富層次的餐點
干貝的鮮甜和高麗菜的甜度融在一起，鮮味滿滿、清脆鹹香

日式熟成牛肉太符合我們的口味～
牛肉一咬便爆出豐沛的水份及肉香
其中微微胡椒香提出層次，超～好～吃","Raw shells of Gaolica seem to be commonly fried in the home, which is actually really delicious. It is rich in layers of meals.
The sweetness of the scallops and the sweetness of Gauli cuisine are combined, full of umami, crisp and salty fragrance

Japanese -style cooked beef is too in line with our taste ~
When the beef bits, the rich water and meat aroma burst
Among them, slight pepper fragrance proposes level, super ~ good ~ eat",False
"星等4.5分
愛好人燒肉就位在鶯歌火車站旁
地點相當好找,附近的停車場也相當多
不管是大眾交通或是自行開車都相當方便

這間店的裝潢相當有日式街邊居酒屋的感覺
有開放式的吧台還有內用的桌位
所以不管是一個人小小放鬆
還是一群朋友聚餐都還不錯

今天點了招牌愛好人燒肉丼飯、明太子雞肉串、紫蔥牛五花
日式烤油豆腐串＋多多燒

料理口味不會過重，算是精緻型的燒烤餐廳
非常好吃！
個人還蠻喜歡日式烤油豆腐串,口味蠻特別的

以鶯歌當地來說,算是非常推薦的燒烤餐廳
但是唯一不推的大概只有價格
大概快跟市中心差不多
其他都不錯","Star waiting 4.5 points
Plug -in meat is located next to Yingge Railway Station
The location is quite easy to find, and there are a lot of parking lots nearby
It is very convenient whether it is a mass traffic or driving by yourself

The decoration of this shop is quite like a Japanese -style street izakaya
There are open bar and internal tables
So whether it is a small relaxation
Still a group of friends are pretty good

Today, I ordered the signature hobby pork rice rice rice, the prince chicken skewers, and the beef flowers of the beef
Japanese -style grilled oil skewers + a lot of boil

The taste of cooking will not be too heavy, it is a delicate barbecue restaurant
Very delicious!
Personally like Japanese -style roasted oil tofu skewers, the taste is pretty special

For the local area, it is a very recommended barbecue restaurant
But the only one who does not push is probably the price
Probably almost the same as the city center
Everything else is good",False
跟朋友來聚餐，隨便選的一間居酒屋，價格公道，而且沒想到餐點這麼好吃，酥炸的雞軟骨脆口，尤其是烤飯糰跟清酒蒸蛤蜊這一道、鮮美可口，搭配燒烤串吃一點都不違和，老闆還另外招待鬆軟的烤馬鈴薯！一行人點了一大推通通都吃完，下次來還會再光顧,"Come to a meal with friends, a izakaya that is casually chosen, the price is fair, and I did not expect that the meal was so delicious. The crispy chicken cartilage crispy, especially the grilled rice balls and sake steamed clams, delicious and delicious, paired with barbecue skewers to eat It is not violated at all, and the boss also entertains soft roasted potatoes!The group ordered a lot of pushes to eat, and next time I come, I will take a look at it again",False
"必點：松阪豬 烤飯糰🍙 烤山藥 烤雞肉串

第一次來大概把想吃的都點過一輪，最愛上面推薦的那幾樣，有回訪的話一定會再點。
雖然價格小高，但難得家附近就有居酒屋，在地鶯歌人一定要支持一下！","Must -order: Matsusaka pig grilled rice balls 🍙 grilled yam skewers

For the first time, I probably ordered everything I want to eat. The most liked I love the recommended above will definitely order it if you have a return visit.
Although the price is small, there is a izakaya near the home, and the people in Yingge must support it!",False
"第一次來踩點
麻辣豆腐飯蠻不錯挺喜歡的～夠辣
其他像烤肉捲.一夜干.生菜沙拉就還好...整體算還行，綠茶是直接來整瓶的...🙄

環境沒空調應該是半開放關係吧
座位偏小.擁擠感強烈

基本上算是讓我會再光顧的店家
工作人員的態度都算蠻和善的
售價的話得算是稍貴..😗","Come to step on the first time
Spicy tofu rice is pretty good, I like it ~ spicy enough
Other like barbecue rolls. Dry overnight. It's okay to let lettuce salad ... The overall is okay, green tea is directly coming to the whole bottle ... 🙄

The environment has no air conditioner should be a semi -open relationship, right?
The seat is small.

Basically, it is a shop that allows me to patronize again
The attitude of the staff is quite good
The price must be a little more expensive ..😗",False
"串類普普都不太驚艷，選推薦的還可以接受。
炒豬豬肝很多人推薦，不過吃起來沒特別好吃，因為豬肝本來就很便宜，即便家樂福買一盒也才20-30元，加上豆芽菜沒什麼成本，口味上就是加調料增重鹹度，沒什麼技術與凸出之處實屬可惜。
明太子山藥可以點，是經驗下吃過的居酒屋中份量最大的一家店。
酒類也都偏貴（大概少個20-40元比較合理），份量是平常看到的啤酒杯。
環境也不是特別優，廁所很偏僻荒涼，好處就是在鶯歌火車站旁邊。","The skewers are not very amazing, and those who are recommended to be recommended can be acceptable.
Many people recommend speculatory pig liver, but it is not particularly delicious because the pork liver is already very cheap. Even if Carrefour buys a box of 20-30 yuan, and there is no cost of bean sprouts. It is a pity that there is no technology and protrusion.
The Ming Prince Yam can be ordered. It is the largest shop in the izakaya with experience.
Alcohol is also expensive (about 20-40 yuan is more reasonable), and the amount is a beer glass that is usually seen.
The environment is not particularly excellent. The toilet is remote and desolate. The advantage is beside Yingge Railway Station.",False
