店名,評分,評論數,地址,鏈接
桂公子酒館,4.4 ,705,地址未找到,https://www.google.com/maps/place/%E6%A1%82%E5%85%AC%E5%AD%90%E9%85%92%E9%A4%A8/data=!4m7!3m6!1s0x3442a9fa8ce9b5bf:0xa84d50bf52f9c20d!8m2!3d25.0581954!4d121.5260152!16s%2Fg%2F11gnp3y73p!19sChIJv7XpjPqpQjQRDcL5Ur9QTag?authuser=0&hl=zh-TW&rclk=1
ABV Bar & Kitchen 地中海餐酒館 精釀啤酒餐廳 林口旗艦店 林口美食｜地中海料理 西班牙料理 義式料理 聚餐約會包場慶生,4.8 ,"2,823",244新北市林口區文化三路一段394巷9號,https://www.google.com/maps/place/ABV+Bar+%26+Kitchen+%E5%9C%B0%E4%B8%AD%E6%B5%B7%E9%A4%90%E9%85%92%E9%A4%A8+%E7%B2%BE%E9%87%80%E5%95%A4%E9%85%92%E9%A4%90%E5%BB%B3+%E6%9E%97%E5%8F%A3%E6%97%97%E8%89%A6%E5%BA%97+%E6%9E%97%E5%8F%A3%E7%BE%8E%E9%A3%9F%EF%BD%9C%E5%9C%B0%E4%B8%AD%E6%B5%B7%E6%96%99%E7%90%86+%E8%A5%BF%E7%8F%AD%E7%89%99%E6%96%99%E7%90%86+%E7%BE%A9%E5%BC%8F%E6%96%99%E7%90%86+%E8%81%9A%E9%A4%90%E7%B4%84%E6%9C%83%E5%8C%85%E5%A0%B4%E6%85%B6%E7%94%9F/data=!4m7!3m6!1s0x3442a7de594b31c7:0xd23f1763f992ca25!8m2!3d25.0726236!4d121.3667632!16s%2Fg%2F11ppm53168!19sChIJxzFLWd6nQjQRJcqS-WMXP9I?authuser=0&hl=zh-TW&rclk=1
海神弄局餐酒吧--新北永和(調酒無限暢飲，酒吧，調酒，酒吧，餐酒館，海鮮餐酒館，宵夜推薦),5.0 ,896,234新北市永和區保平路188號,https://www.google.com/maps/place/%E6%B5%B7%E7%A5%9E%E5%BC%84%E5%B1%80%E9%A4%90%E9%85%92%E5%90%A7--%E6%96%B0%E5%8C%97%E6%B0%B8%E5%92%8C%28%E8%AA%BF%E9%85%92%E7%84%A1%E9%99%90%E6%9A%A2%E9%A3%B2%EF%BC%8C%E9%85%92%E5%90%A7%EF%BC%8C%E8%AA%BF%E9%85%92%EF%BC%8C%E9%85%92%E5%90%A7%EF%BC%8C%E9%A4%90%E9%85%92%E9%A4%A8%EF%BC%8C%E6%B5%B7%E9%AE%AE%E9%A4%90%E9%85%92%E9%A4%A8%EF%BC%8C%E5%AE%B5%E5%A4%9C%E6%8E%A8%E8%96%A6%29/data=!4m7!3m6!1s0x3442a964c11be2d5:0xee1aeb436e80992b!8m2!3d25.0066144!4d121.510596!16s%2Fg%2F11sc_h8yjb!19sChIJ1eIbwWSpQjQRK5mAbkPrGu4?authuser=0&hl=zh-TW&rclk=1
逃生入口Exit Bar,4.9 ,351,234新北市永和區永貞路75號,https://www.google.com/maps/place/%E9%80%83%E7%94%9F%E5%85%A5%E5%8F%A3Exit+Bar/data=!4m7!3m6!1s0x3442a9ca86d15233:0xccb5bf5e2ec07423!8m2!3d25.0042767!4d121.5187314!16s%2Fg%2F11g18yc0bw!19sChIJM1LRhsqpQjQRI3TALl6_tcw?authuser=0&hl=zh-TW&rclk=1
ANNY PUB,4.5 ,359,234新北市永和區得和路21號,https://www.google.com/maps/place/ANNY+PUB/data=!4m7!3m6!1s0x3442a9e0b5e577d7:0xb9df7c44a46b7404!8m2!3d25.0005372!4d121.5154701!16s%2Fg%2F1wn31c7q!19sChIJ13flteCpQjQRBHRrpER837k?authuser=0&hl=zh-TW&rclk=1
暫時飲所TEMPbar,4.8 ,262,234新北市永和區中正路640號,https://www.google.com/maps/place/%E6%9A%AB%E6%99%82%E9%A3%B2%E6%89%80TEMPbar/data=!4m7!3m6!1s0x3442a9bada532eef:0x4bc7504a6347d7ca!8m2!3d25.0083264!4d121.517099!16s%2Fg%2F11pvbblnsz!19sChIJ7y5T2rqpQjQRytdHY0pQx0s?authuser=0&hl=zh-TW&rclk=1
小惡魔酒吧,4.6 ,141,234新北市永和區中山路一段337號,https://www.google.com/maps/place/%E5%B0%8F%E6%83%A1%E9%AD%94%E9%85%92%E5%90%A7/data=!4m7!3m6!1s0x3468035069ea1981:0xe8c58eece32b71d7!8m2!3d25.0060684!4d121.5060063!16s%2Fg%2F11f5_k7bv2!19sChIJgRnqaVADaDQR13Er4-yOxeg?authuser=0&hl=zh-TW&rclk=1
鹿餐酒館/永和酒吧/駐唱歌手/專業調酒/飛鏢酒吧/專業餐點,5.0 ,"1,116",234新北市永和區永貞路71號,https://www.google.com/maps/place/%E9%B9%BF%E9%A4%90%E9%85%92%E9%A4%A8%2F%E6%B0%B8%E5%92%8C%E9%85%92%E5%90%A7%2F%E9%A7%90%E5%94%B1%E6%AD%8C%E6%89%8B%2F%E5%B0%88%E6%A5%AD%E8%AA%BF%E9%85%92%2F%E9%A3%9B%E9%8F%A2%E9%85%92%E5%90%A7%2F%E5%B0%88%E6%A5%AD%E9%A4%90%E9%BB%9E/data=!4m7!3m6!1s0x3442a9bb25932b97:0x6d1736b13221f834!8m2!3d25.004284!4d121.518855!16s%2Fg%2F11qb50h451!19sChIJlyuTJbupQjQRNPghMrE2F20?authuser=0&hl=zh-TW&rclk=1
95 Sports Moment Club,4.5 ,95,234新北市永和區竹林路222號3樓,https://www.google.com/maps/place/95+Sports+Moment+Club/data=!4m7!3m6!1s0x3442a9eedaf60e43:0xd534f0071b2131a3!8m2!3d25.0078776!4d121.5207124!16s%2Fg%2F11cm_j1g5r!19sChIJQw722u6pQjQRozEhGwfwNNU?authuser=0&hl=zh-TW&rclk=1
The 41 Bistro 英式餐酒館《永和店》酒吧/生啤/餐廳/聚餐/駐唱/包場/Bar/Draft Beer,4.7 ,"1,184",234新北市永和區得和路41號,https://www.google.com/maps/place/The+41+Bistro+%E8%8B%B1%E5%BC%8F%E9%A4%90%E9%85%92%E9%A4%A8%E3%80%8A%E6%B0%B8%E5%92%8C%E5%BA%97%E3%80%8B%E9%85%92%E5%90%A7%2F%E7%94%9F%E5%95%A4%2F%E9%A4%90%E5%BB%B3%2F%E8%81%9A%E9%A4%90%2F%E9%A7%90%E5%94%B1%2F%E5%8C%85%E5%A0%B4%2FBar%2FDraft+Beer/data=!4m7!3m6!1s0x3442a9e0d19b0393:0x26f8830c2c00db88!8m2!3d25.0002054!4d121.5162278!16s%2Fg%2F11b6sy43xc!19sChIJkwOb0eCpQjQRiNsALAyD-CY?authuser=0&hl=zh-TW&rclk=1
JACK BAR,4.8 ,99,234新北市永和區永亨路130號,https://www.google.com/maps/place/JACK+BAR/data=!4m7!3m6!1s0x3442a9eff62e04fd:0x84c8fd1c1b6e2cca!8m2!3d25.0039281!4d121.5246053!16s%2Fg%2F11g72911dk!19sChIJ_QQu9u-pQjQRyixuGxz9yIQ?authuser=0&hl=zh-TW&rclk=1
Tonight29,4.4 ,20,234新北市永和區永利路29號,https://www.google.com/maps/place/Tonight29/data=!4m7!3m6!1s0x3442a9e8a2826ae9:0xcb23d0a3b67f5097!8m2!3d25.0058863!4d121.5184628!16s%2Fg%2F11k5n5p908!19sChIJ6WqCouipQjQRl1B_tqPQI8s?authuser=0&hl=zh-TW&rclk=1
Catmint Cafe & Bar 貓草餐酒館,4.7 ,330,235新北市中和區安平路190號,https://www.google.com/maps/place/Catmint+Cafe+%26+Bar+%E8%B2%93%E8%8D%89%E9%A4%90%E9%85%92%E9%A4%A8/data=!4m7!3m6!1s0x3442a99bf88f6bc1:0x6022998e23630f44!8m2!3d24.9990126!4d121.5131815!16s%2Fg%2F11fk8zckj1!19sChIJwWuP-JupQjQRRA9jI46ZImA?authuser=0&hl=zh-TW&rclk=1
醉販,5.0 ,48,234新北市永和區永貞路66號,https://www.google.com/maps/place/%E9%86%89%E8%B2%A9/data=!4m7!3m6!1s0x3442a9bf6b4760ef:0x26f5b3c6c214aecf!8m2!3d25.0055794!4d121.520466!16s%2Fg%2F11svm8s659!19sChIJ72BHa7-pQjQRz64Uwsaz9SY?authuser=0&hl=zh-TW&rclk=1
Boss歡樂時光,5.0 ,166,234新北市永和區林森路109號,https://www.google.com/maps/place/Boss%E6%AD%A1%E6%A8%82%E6%99%82%E5%85%89/data=!4m7!3m6!1s0x3442a9b1cfa4cf1f:0x42ef7889057123b7!8m2!3d25.0033549!4d121.523097!16s%2Fg%2F11tgbnf6jd!19sChIJH8-kz7GpQjQRtyNxBYl470I?authuser=0&hl=zh-TW&rclk=1
定格餐酒DinggeBistro / bar,4.7 ,"1,292",234新北市永和區中和路421巷4號,https://www.google.com/maps/place/%E5%AE%9A%E6%A0%BC%E9%A4%90%E9%85%92DinggeBistro+%2F+bar/data=!4m7!3m6!1s0x3442a915eaa8b713:0x4675137e372f5b72!8m2!3d25.0009578!4d121.5089751!16s%2Fg%2F11g4kd4rzc!19sChIJE7eo6hWpQjQRclsvN34TdUY?authuser=0&hl=zh-TW&rclk=1
VOGUE 2紅酒燒肉/餐廳/餐酒館/bistro/bar/現場駐唱/葡萄酒/運動賽事,4.9 ,594,234新北市永和區中山路一段26號,https://www.google.com/maps/place/VOGUE+2%E7%B4%85%E9%85%92%E7%87%92%E8%82%89%2F%E9%A4%90%E5%BB%B3%2F%E9%A4%90%E9%85%92%E9%A4%A8%2Fbistro%2Fbar%2F%E7%8F%BE%E5%A0%B4%E9%A7%90%E5%94%B1%2F%E8%91%A1%E8%90%84%E9%85%92%2F%E9%81%8B%E5%8B%95%E8%B3%BD%E4%BA%8B/data=!4m7!3m6!1s0x3442a9c1f8723547:0xdaf2a02214759652!8m2!3d25.0106051!4d121.5137319!16s%2Fg%2F12m94crzl!19sChIJRzVy-MGpQjQRUpZ1FCKg8to?authuser=0&hl=zh-TW&rclk=1
藍白拖Bar餐酒,4.5 ,24,234新北市永和區永貞路56號,https://www.google.com/maps/place/%E8%97%8D%E7%99%BD%E6%8B%96Bar%E9%A4%90%E9%85%92/data=!4m7!3m6!1s0x3442a9a736379891:0x5b01115794c5eaed!8m2!3d25.0058479!4d121.5206609!16s%2Fg%2F11rtrykfcg!19sChIJkZg3NqepQjQR7erFlFcRAVs?authuser=0&hl=zh-TW&rclk=1
薰花日式餐酒館,5.0 ,183,234新北市永和區中正路532號,https://www.google.com/maps/place/%E8%96%B0%E8%8A%B1%E6%97%A5%E5%BC%8F%E9%A4%90%E9%85%92%E9%A4%A8/data=!4m7!3m6!1s0x3442a97b7d563fab:0xabac10c67a5b629e!8m2!3d25.005202!4d121.5173303!16s%2Fg%2F11vx7m5f6m!19sChIJqz9WfXupQjQRnmJbesYQrKs?authuser=0&hl=zh-TW&rclk=1
