店名,評分,評論數,地址,鏈接
南國深坑,4.3 ,141,,https://www.google.com/maps/place/%E5%8D%97%E5%9C%8B%E6%B7%B1%E5%9D%91/data=!4m7!3m6!1s0x3442ab82eddabf6d:0xe3244633aa5e64d0!8m2!3d25.0039124!4d121.6182396!16s%2Fg%2F11sbqdhzg4!19sChIJbb_a7YKrQjQR0GReqjNGJOM?authuser=0&hl=zh-TW&rclk=1
深坑串霸,4.2 ,256,222新北市深坑區北深路三段23號,https://www.google.com/maps/place/%E6%B7%B1%E5%9D%91%E4%B8%B2%E9%9C%B8/data=!4m7!3m6!1s0x3442aac3c7ce81f5:0x5129a9b0fb8246b6!8m2!3d25.0010141!4d121.6091503!16s%2Fg%2F11c42p5sq3!19sChIJ9YHOx8OqQjQRtkaC-7CpKVE?authuser=0&hl=zh-TW&rclk=1
LAZY DOG CAFE 伸懶腰（無店狗/無接待8人以上）,4.8 ,271,222新北市深坑區深坑街29號之一,https://www.google.com/maps/place/LAZY+DOG+CAFE+%E4%BC%B8%E6%87%B6%E8%85%B0%EF%BC%88%E7%84%A1%E5%BA%97%E7%8B%97%2F%E7%84%A1%E6%8E%A5%E5%BE%858%E4%BA%BA%E4%BB%A5%E4%B8%8A%EF%BC%89/data=!4m7!3m6!1s0x3442abf22822d675:0x88942bec8bb7856a!8m2!3d25.0021933!4d121.6159843!16s%2Fg%2F11hdxvb0n5!19sChIJddYiKPKrQjQRaoW3i-wrlIg?authuser=0&hl=zh-TW&rclk=1
Raveland Entertainment,4.9 ,18,222新北市深坑區北深路二段50號1樓,https://www.google.com/maps/place/Raveland+Entertainment/data=!4m7!3m6!1s0x3442ab51d19e03b5:0x7e6ec64d1030ed97!8m2!3d25.004359!4d121.6193381!16s%2Fg%2F11qlff0dkc!19sChIJtQOe0VGrQjQRl-0wEE3Gbn4?authuser=0&hl=zh-TW&rclk=1
深坑小食鋪,4.9 ,16,222003新北市深坑區深坑街37號,https://www.google.com/maps/place/%E6%B7%B1%E5%9D%91%E5%B0%8F%E9%A3%9F%E9%8B%AA/data=!4m7!3m6!1s0x3442ab2ce62fe815:0x3a57afe13fc590!8m2!3d25.0021562!4d121.6155808!16s%2Fg%2F11shpb6f4b!19sChIJFegv5iyrQjQRkMU_4a9XOgA?authuser=0&hl=zh-TW&rclk=1
白馬農莊,4.1 ,115,222新北市深坑區烏月路41巷12號,https://www.google.com/maps/place/%E7%99%BD%E9%A6%AC%E8%BE%B2%E8%8E%8A/data=!4m7!3m6!1s0x345d552a31a49b7f:0x19425c296ed098da!8m2!3d25.000736!4d121.6379378!16s%2Fg%2F11cmddhd9h!19sChIJf5ukMSpVXTQR2pjQbilcQhk?authuser=0&hl=zh-TW&rclk=1
波特曼香雞排—深坑草地尾,4.6 ,34,222新北市深坑區北深路三段169之1號,https://www.google.com/maps/place/%E6%B3%A2%E7%89%B9%E6%9B%BC%E9%A6%99%E9%9B%9E%E6%8E%92%E2%80%94%E6%B7%B1%E5%9D%91%E8%8D%89%E5%9C%B0%E5%B0%BE/data=!4m7!3m6!1s0x3442ab510f1a62a9:0x7ae5489ee474dc00!8m2!3d25.0034941!4d121.6017832!16s%2Fg%2F11kh4x_9x8!19sChIJqWIaD1GrQjQRANx05J5I5Xo?authuser=0&hl=zh-TW&rclk=1
深坑山中傳奇會館,4.2 ,118,222新北市深坑區風格街51號,https://www.google.com/maps/place/%E6%B7%B1%E5%9D%91%E5%B1%B1%E4%B8%AD%E5%82%B3%E5%A5%87%E6%9C%83%E9%A4%A8/data=!4m7!3m6!1s0x3442aacecc360727:0x5613fdcea6f1b41!8m2!3d25.0180433!4d121.62969!16s%2Fg%2F1tcz61j9!19sChIJJwc2zM6qQjQRQRtv6tw_YQU?authuser=0&hl=zh-TW&rclk=1
A Shot,5.0 ,116,222新北市深坑區深坑街157號1樓,https://www.google.com/maps/place/A+Shot/data=!4m7!3m6!1s0x3442ab9513dde91d:0x1ff69343e8e12300!8m2!3d25.0010858!4d121.6129913!16s%2Fg%2F11q8jvbc_1!19sChIJHendE5WrQjQRACPh6EOT9h8?authuser=0&hl=zh-TW&rclk=1
台秀演出 X 無限演出音響燈光工程,5.0 ,19,222003新北市深坑區北深路二段67號,https://www.google.com/maps/place/%E5%8F%B0%E7%A7%80%E6%BC%94%E5%87%BA+X+%E7%84%A1%E9%99%90%E6%BC%94%E5%87%BA%E9%9F%B3%E9%9F%BF%E7%87%88%E5%85%89%E5%B7%A5%E7%A8%8B/data=!4m7!3m6!1s0x345d4facd43ce771:0xcbf60860b08fb117!8m2!3d25.003741!4d121.6185556!16s%2Fg%2F11g6z4pn2t!19sChIJcec81KxPXTQRF7GPsGAI9ss?authuser=0&hl=zh-TW&rclk=1
