Bar,Average_Compound,評分,Region,Predicted,Lower_Bound,Upper_Bound,Out_of_CI
56 diner,0.4658666666666666,5.0,松山,0.6794328772836183,0.48847390508210753,0.8703918494851292,True
my other place restaurant &bar 我的家餐廳酒吧,0.7892699999999999,4.5,松山,0.5654290538651993,0.37447008166368845,0.7563880260667101,True
凝聚力音樂娛樂cohesion space,0.0350539325842696,4.7,松山,0.6110305832325668,0.42007161103105595,0.8019895554340776,True
延壽捌伍,0.3997111111111111,5.0,松山,0.6794328772836183,0.48847390508210753,0.8703918494851292,True
買酒網 小巨蛋門市,0.4513076271186441,5.0,松山,0.6794328772836183,0.48847390508210753,0.8703918494851292,True
ASA,0.2092536585365853,3.9,中正,0.4286244657630962,0.23766549356158542,0.619583437964607,True
Taipei Alcohol Exchange Kaffe 台北酒精交易所,0.78634,4.6,中正,0.5882298185488829,0.3972708463473721,0.7791887907503937,True
作 SAKU by necoichi,0.3167,5.0,中正,0.6794328772836183,0.48847390508210753,0.8703918494851292,True
TG BISTRO,0.9038200000000002,4.7,內湖,0.6110305832325668,0.42007161103105595,0.8019895554340776,True
Kuro 庫羅,0.5329599999999999,3.3,大同,0.29181987766099327,0.10086090545948248,0.4827788498625041,True
角落小吧 Corner Bar 寧夏夜市020,0.4018695652173913,4.9,大同,0.6566321125999345,0.46567314039842367,0.8475910848014453,True
星河,0.26215,4.4,文山,0.5426282891815154,0.3516693169800046,0.7335872613830262,True
茶水間全日餐飲,0.3466033333333333,4.4,文山,0.5426282891815154,0.3516693169800046,0.7335872613830262,True
藍曲音樂吧,0.4019,5.0,文山,0.6794328772836183,0.48847390508210753,0.8703918494851292,True
Ale Music Bar & Bistro,0.36439,4.7,士林,0.6110305832325668,0.42007161103105595,0.8019895554340776,True
Modism Muses 摩德年代繆斯餐酒館,0.6764326693227092,4.1,士林,0.4742259951304638,0.283267022928953,0.6651849673319746,True
modism muses 繆斯餐酒館,0.9411333333333332,3.7,士林,0.3830229363957286,0.1920639641942178,0.5739819085972394,True
TimeBeer 士林店,0.0,5.0,士林,0.6794328772836183,0.48847390508210753,0.8703918494851292,True
Arno bar,0.4413327586206896,4.8,中山,0.6338313479162506,0.4428723757147398,0.8247903201177614,True
Cheers,0.298,4.2,中山,0.4970267598141478,0.306067787612637,0.6879857320156586,True
J&J 複合式酒吧,-0.9642,2.0,中山,-0.004590063226896313,-0.1955490354284071,0.18636890897461447,True
La Salle 森酒吧,0.2895105263157895,4.7,中山,0.6110305832325668,0.42007161103105595,0.8019895554340776,True
暖閣仕女飛鏢酒吧,0.4470065217391305,4.9,中山,0.6566321125999345,0.46567314039842367,0.8475910848014453,True
Al Darts,0.3616718309859155,4.5,大安,0.5654290538651993,0.37447008166368845,0.7563880260667101,True
Q9 LOUNGE BAR,0.4279638655462184,4.8,大安,0.6338313479162506,0.4428723757147398,0.8247903201177614,True
去斯萬家 chez Swann by Jumi Tavern,0.81125,4.7,大安,0.6110305832325668,0.42007161103105595,0.8019895554340776,True
曜日義式餐酒館,0.7256257383966247,4.3,大安,0.5198275244978315,0.3288685522963207,0.7107864966993424,True
